Feature,Importance
INF_avg,0.00284550701025887
INF_sd,0.0022788005770587984
INF_r1,0.0021587664201286457
INF_kr,0.0009339547897597195
INF_sk,0.0011759377534180525
SUP_avg,0.0036853256218555832
SUP_sd,0.0015361897232193836
SUP_r1,0.0014269632934930253
SUP_kr,0.0009237463586241245
SUP_sk,0.0007739442021615062
INC_avg,0.003310224065834924
INC_sd,0.0011704131674834038
INC_r1,0.0022255997884412827
INC_kr,0.0010301141297291902
INC_sk,0.0006668219874287348
IND_avg,0.005521112197677386
IND_sd,0.0015963250322119614
IND_r1,0.0011177611087545807
IND_kr,0.000959947768958075
IND_sk,0.001128687031310724
class,0.013401936620718341
type,0.005665586071629447
vertices,0.9444663352798444
