Feature,Importance
INF_avg,0.011991522672967225
INF_sd,0.011449007802934614
INF_r1,0.008559508105690023
INF_kr,0.009974189145911739
INF_sk,0.028472393117914507
SUP_avg,0.00685802599137055
SUP_sd,0.023040062310783677
SUP_r1,0.006340572696599607
SUP_kr,0.005335025783352857
SUP_sk,0.0039602194479646255
INC_avg,0.011030937131829613
INC_sd,0.00673470016365905
INC_r1,0.010189475053152746
INC_kr,0.01358271460217833
INC_sk,0.03050705533299088
IND_avg,0.04070356988554185
IND_sd,0.007977339347052843
IND_r1,0.014476529739981304
IND_kr,0.007106345352340078
IND_sk,0.009667358065980208
class,0.023408072936543643
type,0.006749136246118373
vertices,0.7018862390671418
