Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
1,0.4314814815,0.1431806058,-0.0050761421,1.5,-0.1350615228,0.0925925926,0.0692899516,-0.0588235294,1.5,-0.3818017742,0.4759259259,0.0780858098,-0.0791130578,1.5,0.5392164548,0.3555555556,0.0314269681,-0.5,1.5,0.7071067812,1,1,5,-0.7822976916,-0.7822976916,-0.78197507498
2,0.3593253968,0.1760540146,0.5275206312,1.4953519898,0.1423714238,0.2033730159,0.1598023067,0.2738694688,1.4946653732,0.0652389001,0.4373015873,0.0869509553,-0.5183284938,1.934999192,0.4706412446,0.4432539683,0.0364280527,-0.2377330829,1.9756365085,0.5101400385,1,1,5,-0.7430794881,-0.7430794881,-0.7430461820400001
3,0.3666666667,0.0333333333,-1.0,1.0,-0.0,0.1111111111,0.1111111111,-1.0,1.0,0.0,0.5222222222,0.0777777778,-1.0,1.0,0.0,0.5777777778,0.0222222222,-1.0,1.0,0.0,1,1,5,-0.7996889327,-0.7996889327,-0.79936463358
4,0.2748015873,0.1361803644,0.2978257571,1.8543730025,-0.331051683,0.1577380952,0.0957482616,0.3929376409,2.0874242106,-0.8424077253,0.5674603175,0.0877513666,-0.1484334874,2.1341538384,0.9432718697,0.3422619048,0.0471517248,-0.543718593,2.0678560658,0.547705741,1,1,5,-0.7517813631,-0.7517813631,-0.751164965
5,0.244047619,0.1726190476,-1.0,1.0,-0.0,0.0714285714,0.0714285714,-1.0,1.0,0.0,0.6845238095,0.1011904762,-1.0,1.0,-0.0,0.4285714286,0.0714285714,-1.0,1.0,-0.0,1,1,5,-0.7816703334,-0.7816703334,-0.7816703334
6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,5,-0.737683458135,-0.7377964638,-0.73774623906
7,0.4378741259,0.0970318861,0.0640543575,1.2718725721,0.1207699989,0.0455757576,0.0245148331,0.7323577854,2.5558130625,-1.0679294111,0.5165501166,0.0794835564,-0.1245148919,1.5352144145,-0.1797825613,0.2834778555,0.039645942,0.1542395367,1.3409036042,-0.2011771962,1,1,8,-0.8307135604900001,-0.8201250117400001,-0.8160555260600001
8,0.3505800866,0.111108106,0.7622893179,1.5428876221,0.540334157,0.1715324675,0.054996129,0.5690310417,1.4758306219,-0.2146557309,0.4778874459,0.0584263466,0.8444180688,1.8000189044,-0.6701974377,0.2830822511,0.0117756048,-0.4013339298,2.4047027955,0.4255057958,1,1,8,-0.867486659555,-0.909953838135,-0.908781593595
9,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,1,1,8,-0.8451116836000001,-0.86560129819,-0.866006241915
10,0.4453805294,0.092587921,0.3311201274,1.766389504,-0.4339056888,0.0436868687,0.0410514731,-0.0644637696,2.1437213743,0.7936692101,0.5109326019,0.055495429,0.4461790592,1.2691188228,0.1286293623,0.2196882619,0.0228978901,-0.1946979885,2.103316699,-0.8651874122,1,1,8,-0.78233941719,-0.8456695959699999,-0.847007191905
11,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,1,1,8,-0.855200685915,-0.84334081333,-0.8425687089249999
12,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,1,1,8,-0.78064898147,-0.83954993176,-0.8429114419399999
13,0.6802889577,0.0438644446,0.1638877432,1.7430604844,-0.177150266,0.0777003784,0.0561085209,0.5228740896,1.5445646499,-0.1612154283,0.2420106639,0.0346075198,-0.7491955839,2.1691681293,0.9393726855,0.2273047816,0.0452107822,-0.3029844814,2.0754272721,0.6707731675,1,1,10,-0.81292372814,-0.8435807430300001,-0.843804211205
14,0.5858547009,0.0627804396,-0.0259454253,1.9828198272,-0.178460883,0.048034188,0.0213621361,-0.664834609,1.3203552182,-0.0678581103,0.3661111111,0.0485722067,0.389625504,2.0816628427,0.277126926,0.1561965812,0.0289123962,0.5366093296,1.5630340522,0.3439793275,1,1,10,-0.8995262120699999,-0.870252273205,-0.87448808933
15,0.6296296296,0.037037037,-1.0,1.0,0.0,0.037037037,0.037037037,-1.0,1.0,0.0,0.3333333333,0.0740740741,-1.0,1.0,0.0,0.2222222222,0.0,0.0,0.0,0.0,1,1,10,-0.8341680580349999,-0.883145719675,-0.8937313512999999
16,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1,1,10,-0.91009308044,-0.89481076328,-0.90014748544
