Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,5,-0.7822976916,-0.7822976916,-0.78197507498
2,0.5222222222,0.0777777778,-1.0,1.0,0.0,0.1111111111,0.1111111111,-1.0,1.0,0.0,0.3666666667,0.0333333333,-1.0,1.0,0.0,0.3666666667,0.0333333333,-1.0,1.0,-0.0,1,1,5,-0.7430794881,-0.7430794881,-0.7430461820400001
3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,5,-0.7996889327,-0.7996889327,-0.79936463358
4,0.4314814815,0.1431806058,-0.0050761421,1.5,-0.1350615228,0.0925925926,0.0692899516,-0.0588235294,1.5,-0.3818017742,0.4759259259,0.0780858098,-0.0791130578,1.5,0.5392164548,0.3925925926,0.0456623259,-0.4336283186,1.5,-0.2390631469,1,1,5,-0.7517813631,-0.7517813631,-0.751164965
5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,5,-0.7816703334,-0.7816703334,-0.7816703334
6,0.4641975309,0.1944199475,0.4413263856,3.7730665973,-1.4055636636,0.0845679012,0.125919874,0.3845403512,4.508582631,1.610140138,0.4512345679,0.0858978952,0.1120278158,2.0832602135,0.6199482364,0.3919753086,0.034257869,-0.7316612827,2.5510752235,-0.6666937224,1,1,5,-0.737683458135,-0.7377964638,-0.73774623906
7,0.5671143671,0.0734579699,0.6486832446,1.5032007936,-0.708246865,0.0468864469,0.0822539868,0.1609408505,5.9914832533,2.093177228,0.385999186,0.0632800955,-0.630269749,2.8053326183,0.1173633509,0.2978428978,0.0985452294,-0.4271937963,1.4935376244,0.347866844,1,1,8,-0.8307135604900001,-0.8201250117400001,-0.8160555260600001
8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,1,1,8,-0.867486659555,-0.909953838135,-0.908781593595
9,0.7208333333,0.0435012771,-0.0975206612,3.996380776,-1.6696054513,0.0,0.0,0.0,0.0,0.0,0.2791666667,0.0435012771,-0.0975206612,3.996380776,1.6696054513,0.2888888889,0.1043794124,-0.5717738038,2.9761172949,1.1686801801,1,1,8,-0.8451116836000001,-0.86560129819,-0.866006241915
10,0.6202930403,0.1016655036,-0.1036164553,1.2381952994,-0.222453958,0.0153846154,0.0307692308,-0.0526315789,3.25,1.5,0.3643223443,0.0870706373,-0.2673324477,1.6703525189,0.3870269033,0.2817582418,0.1139568387,-0.7980434473,2.8273528695,1.216329677,1,1,8,-0.78233941719,-0.8456695959699999,-0.847007191905
11,0.6666666667,0.0,0.0,0.0,0.0,0.0333333333,0.0333333333,-1.0,1.0,0.0,0.3,0.0333333333,-1.0,1.0,0.0,0.1333333333,0.0,0.0,0.0,0.0,1,1,8,-0.855200685915,-0.84334081333,-0.8425687089249999
12,0.5833333333,0.0833333333,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666667,0.0833333333,-1.0,1.0,0.0,0.3541666667,0.0208333333,-1.0,1.0,0.0,1,1,8,-0.78064898147,-0.83954993176,-0.8429114419399999
13,0.6434117756,0.1375204006,0.4434232997,2.0779410064,-0.6314900535,0.0453653343,0.0607713532,0.4824325215,2.799048739,1.0573613448,0.3112228902,0.0893548845,0.1911783854,1.408138232,0.2882526348,0.1977622983,0.0266553718,-0.3591597693,2.0825809036,-0.8016858877,1,1,10,-0.81292372814,-0.8435807430300001,-0.843804211205
14,0.3638665787,0.2141678423,0.7934233171,1.5019397151,-0.3137600342,0.2291915095,0.1923677618,0.8274732855,1.2893283935,0.3556414351,0.4069419117,0.0421897566,0.1642185595,2.3839237021,0.5474335696,0.1830976343,0.0407443298,0.234518139,3.5337316889,-1.0588460995,1,1,10,-0.8995262120699999,-0.870252273205,-0.87448808933
15,0.540616218,0.1056050374,0.7909050186,1.6617690666,-0.2135829708,0.1286271489,0.076217684,1.0178069459,1.6812545052,-0.5064319165,0.3307566331,0.0477757952,0.3525140687,2.5556418925,0.8634349065,0.1513551264,0.0443288619,-0.5771843131,6.2896416899,2.2009447952,1,1,10,-0.8341680580349999,-0.883145719675,-0.8937313512999999
16,0.4011471825,0.1903643064,0.6430662754,2.7017604686,-0.816265934,0.1826745953,0.0872105004,0.6077397458,2.5639201864,0.9178787338,0.4161782221,0.1152814413,0.6003771813,2.535156853,0.160526066,0.1580811475,0.0302959478,0.3059742625,1.7340558364,0.6143239054,1,1,10,-0.91009308044,-0.89481076328,-0.90014748544
17,0.3832564261,0.1725045522,0.8685238196,1.3648249477,-0.2539760481,0.1362756291,0.094789885,0.7972702169,1.543235519,0.4590897036,0.4804679448,0.082538698,0.8656580692,1.6551746181,0.0424702714,0.1747839462,0.0251151086,-0.3258192548,3.7642288035,-1.1900380549,1,1,10,-0.922143150785,-0.94980149664,-0.95763748021
18,0.6012116348,0.1068538092,-0.3200959469,2.2529008848,-0.1440426689,0.0386184688,0.0480491583,0.5003492059,1.9724382376,0.74975394,0.3601698964,0.0859705718,-0.2480850585,3.0237346167,-0.8716257029,0.1980675636,0.051907089,0.7228243562,1.7321435914,-0.3583172207,1,1,10,-0.8746622492249999,-0.8681950274349999,-0.87228294636
19,0.6419157542,0.1856609265,0.9378534981,1.6847837362,-0.1891378513,0.0591300366,0.055824773,0.7009555749,3.6538743632,1.0695840947,0.2989542092,0.1369667602,0.9599581464,1.6389382235,0.0099648189,0.0914968999,0.0287379807,0.2652782842,4.689216279,0.7077123108,1,1,20,-0.74886535544,-0.75699315611,-0.7864238003849999
