Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.45,0.0866025404,-0.4545454545,2.3333333333,1.1547005384,1,1,5,-0.7822976916,-0.7822976916,-0.78197507498
2,0.3791666667,0.1319590635,-0.1005818786,2.1976155283,0.9162861571,0.1875,0.1538786098,0.3295546559,1.7967280706,0.3457773591,0.4333333333,0.0808901099,-0.1527093596,1.8942684229,0.3732060605,0.4763888889,0.0722622752,-0.1819745442,2.2762724778,1.0670249695,1,1,5,-0.7430794881,-0.7430794881,-0.7430461820400001
3,0.4596825397,0.1627943194,0.0546876814,3.0050982895,-1.2992567403,0.1071428571,0.1085881357,0.4895522388,1.8603226701,0.5360384649,0.4331746032,0.0782080744,-0.4312872231,2.4913086317,0.6722072862,0.4533333333,0.0903081146,-0.7041522491,2.0400366771,0.3883163773,1,1,5,-0.7996889327,-0.7996889327,-0.79936463358
4,0.5222222222,0.0777777778,-1.0,1.0,0.0,0.0555555556,0.0555555556,-1.0,1.0,0.0,0.4222222222,0.0222222222,-1.0,1.0,0.0,0.4222222222,0.0222222222,-1.0,1.0,0.0,1,1,5,-0.7517813631,-0.7517813631,-0.751164965
5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,5,-0.7816703334,-0.7816703334,-0.7816703334
6,0.4777777778,0.0777777778,-1.0,1.0,0.0,0.0555555556,0.0555555556,-1.0,1.0,0.0,0.4666666667,0.1333333333,-1.0,1.0,0.0,0.5222222222,0.0777777778,-1.0,1.0,0.0,1,1,5,-0.737683458135,-0.7377964638,-0.73774623906
7,0.39,0.0860232527,-0.5350877193,2.6519357195,1.017952296,0.1,0.0707106781,-0.5,1.7,-0.0,0.51,0.0374165739,-1.0588235294,1.8469387755,-0.3436215967,0.27,0.04,-0.0563380282,2.078125,-0.84375,1,1,8,-0.8307135604900001,-0.8201250117400001,-0.8160555260600001
8,0.65,0.0775364738,0.1442687747,1.365438029,-0.0904503517,0.0452380952,0.056844459,0.5872141086,2.0031578947,0.7415918671,0.3047619048,0.0607259559,-0.3531704479,1.864982651,-0.3029213823,0.3035714286,0.100184071,0.0897669002,2.4898805943,0.7876130483,1,1,8,-0.867486659555,-0.909953838135,-0.908781593595
9,0.5222222222,0.1379971372,-0.2869866403,2.3837489394,0.0629650521,0.0444444444,0.0458122847,-0.2558139535,1.1730103806,0.1569348162,0.4333333333,0.1228519133,-0.3317073171,1.6965260266,-0.2571803009,0.3055555556,0.0773799349,-0.1419172932,2.6478371772,0.6069337011,1,1,8,-0.8451116836000001,-0.86560129819,-0.866006241915
10,0.62,0.0996661093,0.6219057308,1.1906896086,0.4056048363,0.0233333333,0.0290593263,-0.4652567976,1.3801939058,0.507129517,0.3566666667,0.0840634681,0.6358998145,1.39584075,-0.1511286984,0.2466666667,0.0244948974,-0.2453531599,2.8127572016,-1.1642636432,1,1,8,-0.78233941719,-0.8456695959699999,-0.847007191905
11,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,1,1,8,-0.855200685915,-0.84334081333,-0.8425687089249999
