Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
1,0.2936507937,0.0718133376,0.0344065098,2.6025721112,-0.7243002588,0.1130952381,0.0527941853,-0.7001594896,2.7384372307,-0.7825399537,0.5932539683,0.0656862911,-0.2260392316,2.3631053865,0.2253331312,0.3683862434,0.0665463557,0.0279139819,2.9003219814,0.2697177303,1,1,5,-0.7822976916,-0.7822976916,-0.78197507498
2,0.3417989418,0.1539223372,0.4622113386,2.1532554506,-0.1662674538,0.2724867725,0.1268738498,0.1176299879,3.5388113422,-0.4438455949,0.3857142857,0.1084662537,0.6730188979,2.4817936017,0.9497354046,0.4377425044,0.0588255471,0.2285243027,3.0522560418,0.3633581446,1,1,5,-0.7430794881,-0.7430794881,-0.7430461820400001
3,0.3611111111,0.219114066,0.6084558824,1.9246683673,-0.6927246481,0.2328042328,0.1666351696,0.4076464063,1.6693339194,0.3177173979,0.4060846561,0.117389988,0.7258580291,1.7958314515,0.2210252101,0.417989418,0.064259036,-0.4489034064,1.6033151393,-0.2764626418,1,1,5,-0.7996889327,-0.7996889327,-0.79936463358
4,0.4406525573,0.1051072402,0.7115997471,2.2234998964,0.061215595,0.1481481481,0.0950173809,0.198630137,1.9149341987,-0.3746840064,0.4111992945,0.0503375194,-0.202577453,2.3928865518,-0.1462546599,0.3750440917,0.051487641,-0.700387119,1.7066188546,-0.2765470941,1,1,5,-0.7517813631,-0.7517813631,-0.751164965
5,0.2037037037,0.1977930359,0.429235771,2.2528134092,0.5857189263,0.2702821869,0.1149263783,0.2546585427,3.8621424504,-1.0868995252,0.5260141093,0.1045919321,0.2727065697,1.8208664523,0.422988382,0.3766313933,0.1087344141,0.0684967652,2.4983305904,0.8323720228,1,1,5,-0.7816703334,-0.7816703334,-0.7816703334
6,0.0074074074,0.020951312,-0.1408450704,7.125,2.4748737342,0.3259259259,0.0491351821,0.3620253165,1.8533057851,0.1781657945,0.6666666667,0.0544331054,0.1666666667,1.5,-0.0,0.4,0.0444444444,0.0,2.25,-0.0,1,1,5,-0.737683458135,-0.7377964638,-0.73774623906
7,0.3656524574,0.1360932002,0.4150074371,2.5206941276,0.4885270178,0.2610149833,0.0814711577,0.3707395273,2.1334365604,-0.0713836015,0.3733325593,0.0939817209,0.4945151635,1.5697886387,-0.4919813341,0.1999703489,0.0492651332,-0.0022825653,1.5969048245,0.5014259091,1,1,8,-0.8307135604900001,-0.8201250117400001,-0.8160555260600001
8,0.2648709315,0.0989796231,0.1972130545,2.2175208649,-0.3872294718,0.2081930415,0.0767435937,0.2083673173,2.7109730281,-0.3472663806,0.5269360269,0.1194159378,0.8752125021,1.9810819829,-0.584282459,0.2401795735,0.0475189702,0.1850012012,1.7084035147,-0.146063163,1,1,8,-0.867486659555,-0.909953838135,-0.908781593595
9,0.3548492589,0.1311650587,0.7702093329,1.5613154691,0.2736968849,0.1680850652,0.0816242348,0.749579037,1.8050220262,-0.2503779491,0.4770656759,0.0696022341,0.5995354588,1.5786363717,0.2764391654,0.2002515577,0.0490354316,0.3181389026,3.3827882097,0.9261027476,1,1,8,-0.8451116836000001,-0.86560129819,-0.866006241915
10,0.4163249267,0.091075737,0.5320436805,3.2297467654,0.7326208091,0.1158008786,0.0625067674,0.2469709341,1.5636346749,0.413379796,0.4678741948,0.0566302464,-0.4795919312,2.8826753824,-0.7534711833,0.2089958318,0.026600454,-0.3889575652,2.5083555434,-0.6524104121,1,1,8,-0.78233941719,-0.8456695959699999,-0.847007191905
11,0.1624579125,0.051943598,0.0625,3.1151153476,0.9807655972,0.2239057239,0.0642052317,0.6046380421,1.4162027354,-0.0883740721,0.6136363636,0.0381304769,0.2150170648,2.834384939,1.1324364363,0.2084736251,0.0592237505,0.1672460114,2.705189442,0.7080637088,1,1,8,-0.855200685915,-0.84334081333,-0.8425687089249999
12,0.5268213268,0.0706633352,-0.1962395,2.4181590711,-0.6076609683,0.1559218559,0.0390560101,-0.1406846956,3.3338348366,-1.0352951825,0.3172568173,0.067893475,0.0959263942,2.8872608725,0.552464896,0.299023199,0.0431495682,-0.5713293927,3.8478151766,1.1182834181,1,1,8,-0.78064898147,-0.83954993176,-0.8429114419399999
13,0.5056931595,0.1414801577,1.0898326219,2.6223902044,-0.9373120312,0.1720022022,0.0831238533,0.7538342297,2.2290765089,0.3434822942,0.3223046384,0.0765026396,0.9353758491,2.2110197345,0.3042455771,0.1597213604,0.0491729098,0.4027891642,2.6969661771,0.9991487455,1,1,10,-0.81292372814,-0.8435807430300001,-0.843804211205
14,0.5335074153,0.0910479735,0.1530488481,3.2770317984,1.0963489374,0.1689096626,0.0568788164,-0.3480094616,3.5458829301,-1.256952355,0.2975829221,0.0484735391,0.515650608,2.3804911225,-0.8642727676,0.1220949491,0.0447014999,0.0876205434,3.319601653,1.1548880267,1,1,10,-0.8995262120699999,-0.870252273205,-0.87448808933
15,0.4491582492,0.092234462,0.5577616374,1.7163568872,0.4450426285,0.1585578002,0.0712668681,0.4769601751,1.8558300234,0.6370461319,0.3922839506,0.0627963178,0.1238146529,2.9033966525,0.6435767395,0.1412177329,0.0247645838,-0.0960957118,2.8755352782,-0.9084537375,1,1,10,-0.8341680580349999,-0.883145719675,-0.8937313512999999
16,0.5840781768,0.0702594605,0.6925870241,1.8259873687,0.1335699465,0.1447422379,0.0802267244,0.7377479562,1.8644016056,-0.4847650109,0.2711795853,0.0268194235,0.1336710852,1.8139055108,0.1823786842,0.1986226412,0.0854887773,0.3882090938,1.1758731351,0.2898849885,1,1,10,-0.91009308044,-0.89481076328,-0.90014748544
17,0.4888365603,0.0729311388,0.6414304974,1.261754849,0.1753748564,0.1628292343,0.0488637156,0.4160048774,1.8552656817,0.3381563367,0.3483342055,0.0440785617,0.2885119527,2.5264081987,-0.1599870279,0.1634833421,0.034438194,0.5028816607,2.3538268203,0.6148050231,1,1,10,-0.922143150785,-0.94980149664,-0.95763748021
18,0.5639494069,0.112577202,0.3096951255,1.1709718885,0.176101972,0.1279774873,0.0528684052,-0.1149174381,2.9998927022,0.2755854305,0.3080731058,0.0938167394,0.4074330478,1.4924641614,0.17236524,0.121181312,0.0220771647,-0.0921691543,1.7273475334,0.3228932772,1,1,10,-0.8746622492249999,-0.8681950274349999,-0.87228294636
19,0.2552,0.0878177659,0.8172962269,2.3513357751,0.1295432883,0.2271,0.0792091535,0.7936043557,3.0136218241,0.6944175615,0.5177,0.0415476834,0.4970454917,2.2119572539,-0.1859241362,0.0819,0.0155528133,0.4420551694,2.5788573332,0.4457301436,1,1,20,-0.74886535544,-0.75699315611,-0.7864238003849999
20,0.5326065731,0.0419492392,0.526740596,1.6200913882,0.0903048068,0.0827527063,0.0151204141,0.2322261516,1.7250737655,-0.1845625925,0.3846407206,0.0363797984,0.3810446811,2.0646366724,0.2910180744,0.0812553565,0.0103376999,0.137163649,1.6786888113,0.1904972517,1,1,20,-0.7693178964999999,-0.7837758787,-0.814909627325
21,0.3882052736,0.0664825267,0.6277007856,1.5637264107,-0.2398039667,0.2435522414,0.05129992,0.5058458766,1.7219153245,-0.4461207475,0.368242485,0.0353101461,0.681271562,2.6524624921,0.2569817576,0.0536461422,0.0101569918,0.4885213432,2.1306417705,-0.3924463622,1,1,20,-0.74889904875,-0.7619802822899999,-0.79402493736
22,0.31,0.0853580693,0.5572959604,2.9946296746,0.4338266661,0.1941,0.0686417511,0.7113714461,5.8790720308,1.4178984067,0.4959,0.05638874,0.5617793618,2.1685599943,-0.0139621304,0.0504,0.0122816937,0.36210626,4.0372290142,0.5473086737,1,1,20,-0.77490415751,-0.79991707355,-0.82360042296
23,0.6862683656,0.0888190094,0.7128338524,1.5538872545,-0.4857168041,0.0724461997,0.0403287383,0.3635480418,1.4650423656,-0.2273951408,0.2412854347,0.0704389932,0.8834601084,1.6785808551,0.6658249978,0.0940989669,0.011696085,0.0468097846,3.2581281175,-0.8056941914,1,1,20,-0.7858303956849999,-0.800286015235,-0.837772426425
24,0.2559399878,0.0693105183,0.6530291172,2.7530816284,0.4466027725,0.2656710522,0.0703555073,0.6296230876,2.3684307815,0.0029557529,0.47838896,0.0432120543,0.5424951073,2.9756722702,0.1354055226,0.056717121,0.0164988937,0.4933460726,2.7253506409,-0.147697063,1,1,20,-0.770022298175,-0.79742173178,-0.83245623356
25,0.4081,0.0586931853,0.5868696293,3.2709053017,-0.1145189601,0.1726,0.037205376,0.5436182848,3.3182627467,0.5092185711,0.4193,0.0399250548,0.4039260161,2.6175971847,0.1475506883,0.0579,0.0118359621,0.1461505109,2.1676522095,-0.1361027734,1,1,50,-0.63655165351,-0.651051059885,-0.69311815502
26,0.4083,0.0472399196,0.5527986536,1.8889344436,0.2538735592,0.1666,0.0378343759,0.5217328608,2.2961354656,-0.4358574047,0.4251,0.0307975648,0.171119464,3.4339819102,-0.1257069284,0.0544,0.0131772531,0.4499367398,2.8235174905,0.4382539112,1,1,50,-0.61293243582,-0.6389953431150001,-0.6845963668699999
27,0.4684,0.0540965803,0.445834823,2.3037357682,0.2099736262,0.1275,0.0301537726,0.6173434274,2.1522922724,0.2568632014,0.4041,0.0438484891,0.3550150688,2.5203851815,0.2991978906,0.0811,0.0173,0.6873890542,2.3371018328,-0.2175646139,1,1,50,-0.6309000523,-0.63678209746,-0.68863783246
28,0.4133,0.0764042538,0.6768833863,2.6349289334,0.5378350135,0.163,0.053,0.7426875098,1.9249344875,0.232923823,0.4237,0.0479250456,0.5254952077,2.2479924171,-0.3061805903,0.0496,0.0111283422,0.4986010693,2.5781215572,0.2530029924,1,1,50,-0.645028154075,-0.6692843360199999,-0.71137667216
29,0.44,0.0555337735,0.6379701686,1.9601924329,-0.1415340915,0.1287,0.0418904524,0.6341576512,3.3479372603,0.7832080615,0.4313,0.0368891583,0.39434834,2.9951145546,0.2047474303,0.0608,0.0119733036,0.0576725601,2.1700825594,0.3002774012,1,1,50,-0.66690714154,-0.67223448446,-0.712341406145
