Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
1,0.4766666667,0.1533333333,0.6835124244,1.3589261402,-0.497205556,0.0944444444,0.1160034057,0.5952722063,1.2047176164,0.4257493901,0.4288888889,0.0395030863,0.8471223022,2.2765983016,0.9442193396,0.4511111111,0.0650166171,0.2663329821,1.624994541,0.622654144,1,1,5,-0.7822976916,-0.7822976916,-0.78197507498
2,0.2785714286,0.0751415897,-0.2997079308,2.3016281995,-0.9570763229,0.1261904762,0.0546064045,-0.4137033825,1.6427951828,0.6311524265,0.5952380952,0.0238095238,-0.0526315789,3.25,1.5,0.3214285714,0.0368855557,-0.0833333333,2.9947916667,-1.2506508722,1,1,5,-0.7430794881,-0.7430794881,-0.7430461820400001
3,0.2666666667,0.0623609564,-0.3768115942,1.8469387755,-0.3436215967,0.05,0.040824829,-0.5384615385,1.1666666667,-0.4082482905,0.6833333333,0.0333333333,-0.3157894737,3.25,1.5,0.3388888889,0.0618640485,-0.8818681319,2.5476066597,0.39976664,1,1,5,-0.7996889327,-0.7996889327,-0.79936463358
4,0.4366666667,0.1110888867,-0.025515211,2.5291234141,-0.3130037835,0.1222222222,0.0737027731,0.3165467626,2.2169421488,-0.3700366502,0.4411111111,0.0819213715,-0.6827978167,2.4286828713,0.5658195104,0.3466666667,0.0751623757,0.4504643963,2.1267788156,-0.3982054807,1,1,5,-0.7517813631,-0.7517813631,-0.751164965
5,0.2238095238,0.1160088354,-0.2546900125,2.9467862671,-1.2328338338,0.2246031746,0.0845750273,-0.4477702454,1.4255559391,-0.1580436288,0.5515873016,0.0977190093,0.0266045893,2.2796002708,0.3689349084,0.3984126984,0.0633729041,0.1335344118,1.670647771,0.573409905,1,1,5,-0.7816703334,-0.7816703334,-0.7816703334
6,0.5733333333,0.0217732422,0.0384615385,1.1666666667,0.4082482905,0.0888888889,0.0831479419,-0.0869565217,1.8469387755,0.3436215967,0.3377777778,0.0650166171,-0.1459307764,2.3312516377,-0.772388211,0.4044444444,0.0407340062,-0.9817073171,2.2295918367,-0.685827655,1,1,5,-0.737683458135,-0.7377964638,-0.73774623906
7,0.2,0.0689426314,-0.083106267,2.9432450666,1.2621071359,0.2484848485,0.0305795465,-0.4827851018,2.6443047672,1.0451817216,0.5515151515,0.0747850029,0.0631203895,2.1330297238,-0.5720045051,0.1641414141,0.0224165061,0.1374045802,1.3894328635,0.0205860568,1,1,8,-0.8307135604900001,-0.8201250117400001,-0.8160555260600001
8,0.15,0.0715783263,-0.6828087167,2.3327768907,0.8163607337,0.2611111111,0.1091493484,-1.0228215768,1.4924024806,0.0759524043,0.5888888889,0.0732828109,-1.2278911565,2.6331747919,0.8286795856,0.3166666667,0.0515201028,0.2488262911,1.509194159,0.1579875514,1,1,8,-0.867486659555,-0.909953838135,-0.908781593595
9,0.5391208791,0.0744678465,-0.0802318275,2.5360205771,0.4297056929,0.1621978022,0.0281593273,0.608969569,1.2960923276,0.2503757722,0.2986813187,0.0968723132,0.2433284069,2.4475117469,-0.4485992726,0.2032234432,0.033625815,-0.1196540394,2.8201844617,1.068378921,1,1,8,-0.8451116836000001,-0.86560129819,-0.866006241915
10,0.4674285714,0.0716413339,0.1107077014,2.6750133117,-1.05726719,0.2245714286,0.1183045764,-0.0737893077,2.1358872696,0.870139472,0.308,0.0631611695,-0.2501935284,1.5699405187,0.0638944886,0.1980952381,0.0214232798,-1.136089578,2.3935774657,0.249864074,1,1,8,-0.78233941719,-0.8456695959699999,-0.847007191905
11,0.4846153846,0.0744208408,-0.633744856,1.6400942362,0.4081484856,0.161025641,0.0605779745,-0.5897700061,1.6416693795,-0.4553731556,0.3543589744,0.0233544565,-0.5249165612,3.0577694726,1.3207918754,0.2205128205,0.0521717691,-0.0742786986,2.0138276272,0.4964591471,1,1,8,-0.855200685915,-0.84334081333,-0.8425687089249999
12,0.2181818182,0.1459464885,0.0613171584,1.3430939816,-0.0545704842,0.1797979798,0.1326601463,-0.0308392735,2.2973860523,0.8490512759,0.602020202,0.0564799134,0.0590365302,1.7726520344,0.5996615761,0.1722222222,0.0146725647,-0.1205198897,1.8905291885,0.1668867876,1,1,8,-0.78064898147,-0.83954993176,-0.8429114419399999
13,0.5336450478,0.0816600956,0.7869218555,1.8936804617,-0.5076770575,0.2190682085,0.0712957564,0.5353872249,1.7392393442,-0.148884367,0.2472867438,0.0241617928,-0.4111784424,2.057311257,0.7336309621,0.1888252053,0.0332595699,-0.1235901108,2.3235251518,-0.3604018841,1,1,10,-0.81292372814,-0.8435807430300001,-0.843804211205
14,0.3247863248,0.0442467662,0.1735884274,2.3842352487,0.790461464,0.2327635328,0.0503060818,0.0058759861,3.0111926485,-1.3240873667,0.4424501425,0.0273986102,-0.497547723,1.70902848,0.0157113603,0.1336182336,0.0123250247,-0.596532998,2.411275685,0.2300041884,1,1,10,-0.8995262120699999,-0.870252273205,-0.87448808933
15,0.258951049,0.1182359292,0.2531247032,1.4218229519,0.0795049362,0.2883916084,0.126037074,0.411161276,1.30279293,-0.4315711962,0.4526573427,0.0374316009,0.6224253938,2.4359937638,-0.9304167308,0.1188811189,0.0278599152,-0.3311808118,1.6967239936,-0.131626353,1,1,10,-0.8341680580349999,-0.883145719675,-0.8937313512999999
16,0.4933333333,0.0304594448,0.7937625755,1.4045143246,-0.2585159233,0.1535087719,0.0229633642,-0.8406899602,1.3868977254,0.1228766336,0.3531578947,0.0312105707,-0.118440756,1.6062698895,0.2543390343,0.1926608187,0.0263070811,0.7218679491,1.9040736968,-0.4505998383,1,1,10,-0.91009308044,-0.89481076328,-0.90014748544
17,0.599122807,0.074005149,-0.2092012819,1.5128844295,0.1154831293,0.1140952872,0.0615704842,-0.2460204706,2.6204413361,-0.9916370114,0.2867819057,0.0392728063,0.0391778794,1.8219504199,-0.5762062917,0.1973156748,0.0763724032,0.4622729953,1.6259423409,-0.0168186942,1,1,10,-0.922143150785,-0.94980149664,-0.95763748021
18,0.3800566893,0.046386716,-0.0482246419,1.6623283824,-0.5345825106,0.0958163265,0.0180317169,0.1954701474,1.4914570081,0.3500810964,0.5241269841,0.0412991349,-0.1496557975,1.4630450863,0.0161930767,0.1647052154,0.053992682,-0.2386956715,1.2411590547,-0.1404030672,1,1,10,-0.8746622492249999,-0.8681950274349999,-0.87228294636
19,0.4724642576,0.0163507128,-0.1459604059,1.8865135883,0.0998873559,0.1674096589,0.0231622685,0.5586696456,1.6605252718,0.2817118992,0.3601260835,0.0332092342,0.5800283119,1.3196037551,0.2209330328,0.044495103,0.0098302493,-0.3347238707,2.4864754949,-0.9792149589,1,1,20,-0.74886535544,-0.75699315611,-0.7864238003849999
20,0.5273982793,0.0632394763,0.4814228515,2.0073297804,0.1362397726,0.1667043945,0.0168356185,-0.1725403381,1.2272297823,-0.4349026895,0.3058973262,0.0634744626,0.5969235355,2.2178503271,0.6114491656,0.0548727916,0.0048385931,-0.010196948,2.3200008043,0.8225606962,1,1,20,-0.7693178964999999,-0.7837758787,-0.814909627325
21,0.6907936508,0.0323965104,-0.5403830142,1.9713380361,0.465196341,0.0714285714,0.0215312063,-0.1350164654,1.7405718336,0.3245325665,0.2377777778,0.0267195243,0.1585254343,1.7410046132,0.0189992042,0.0742857143,0.0100088145,0.0656668018,2.7962968961,-1.0017040025,1,1,20,-0.74889904875,-0.7619802822899999,-0.79402493736
22,0.6008205987,0.0545647435,-0.181886853,2.8703385261,1.1389907372,0.0719700283,0.028058873,-0.1673065221,1.3860697398,0.2151177992,0.327209373,0.0608153964,0.2206111002,2.1389954705,-0.2846815725,0.0890930598,0.0076370044,-0.7507482719,1.8579091983,-0.0127304451,1,1,20,-0.77490415751,-0.79991707355,-0.82360042296
23,0.6777132192,0.1240974274,0.5017518616,1.2907866944,-0.3320617513,0.040818828,0.0213861076,0.1602818037,1.7939469776,-0.1362512339,0.2814679528,0.1047026641,0.5725883366,1.3413208106,0.4262744935,0.0559971975,0.0183148623,0.1991097347,1.4801026306,5.92719e-05,1,1,20,-0.7858303956849999,-0.800286015235,-0.837772426425
24,0.5605318627,0.0440290545,0.0444706879,2.4781580903,-0.0105839053,0.1116054439,0.0185279967,-0.5950262959,1.5130084273,0.3590568647,0.3278626934,0.0328324262,0.2172046487,1.8239410403,-0.3415471524,0.0550008522,0.0041807163,0.105228025,1.5231132774,0.080305319,1,1,20,-0.770022298175,-0.79742173178,-0.83245623356
25,0.4677777778,0.129214149,0.5553691275,2.0527725268,-0.5312680038,0.1333333333,0.1295767088,0.8314606742,1.6280276817,0.3631734744,0.3988888889,0.0365823947,-0.6431061193,2.5545437834,-0.7417248524,0.4222222222,0.0983819716,0.0365853659,2.4000416493,0.8850689661,1,1,50,-0.63655165351,-0.651051059885,-0.69311815502
26,0.1833333333,0.1527525232,-0.8440594059,1.2091836735,-0.296152851,0.28,0.1127435635,-0.1346998536,1.921389799,0.5222570323,0.5366666667,0.1056198635,-0.3359291085,2.7432620117,0.9811175154,0.3933333333,0.0309120617,0.0566037736,2.9694429421,-1.2864700617,1,1,50,-0.61293243582,-0.6389953431150001,-0.6845963668699999
27,0.2688888889,0.1822222222,0.5113019653,1.6462019435,-0.0773494291,0.1588888889,0.0662580067,-0.3194361486,1.8265277653,0.5255500275,0.5722222222,0.1234283918,0.6650276583,1.3839413537,-0.085570737,0.2744444444,0.113289752,-0.5211292749,1.3262016527,0.2051124845,1,1,50,-0.6309000523,-0.63678209746,-0.68863783246
28,0.1,0.1224744871,0.5238095238,1.1666666667,0.4082482905,0.15,0.0596284794,0.1587301587,2.3486328125,0.3930588242,0.75,0.1738453975,0.4481981982,1.3527924957,-0.4155568575,0.49,0.0442216639,-0.5277777778,1.897339876,-0.5627640721,1,1,50,-0.645028154075,-0.6692843360199999,-0.71137667216
29,0.0733333333,0.0904310664,0.0300375469,1.2562618147,0.4495377033,0.2166666667,0.1256096245,0.7484662577,1.3878694703,0.42609097,0.71,0.0916515139,0.3738387217,2.1498068363,0.6275207584,0.4366666667,0.0845905169,-0.5958388668,2.2700995332,0.6542295391,1,1,50,-0.66690714154,-0.67223448446,-0.712341406145
30,0.1866666667,0.1222020185,0.4648829431,1.2091836735,0.296152851,0.04,0.0533333333,-0.338028169,2.078125,0.84375,0.7733333333,0.1083205121,0.2105263158,1.4421487603,0.3804646085,0.49,0.0952190457,-0.5253058954,2.6007605248,1.0144308476,1,1,50,-0.651363448745,-0.6721724572150001,-0.713126918355
31,0.6466666667,0.0878129325,-1.0181503889,1.3538066091,0.1617927154,0.1066666667,0.0904310664,-1.0165745856,1.2296786389,-0.2115471545,0.2466666667,0.0244948974,-0.0683760684,2.8127572016,-1.1642636432,0.245,0.0798609903,-0.3973123508,2.1900783365,0.2841937338,1,1,100,-0.5551785472049999,-0.577489461165,-0.60934755822
32,0.570952381,0.1326547357,0.6841341511,1.8591779554,-0.1941256872,0.147032967,0.1138881033,0.6766611515,2.0422979506,0.3873698991,0.282014652,0.0212461791,0.5127404602,1.6151587095,-0.2842314524,0.2237728938,0.0468212115,0.4338092829,2.9465708498,-1.2460575218,1,1,100,-0.553021375725,-0.573717826165,-0.610650683225
33,0.6676190476,0.0740257968,0.0756129258,1.3229701392,-0.0399429761,0.0819047619,0.0669653175,0.4423972071,1.1715760204,-0.3998730192,0.2504761905,0.028468067,-0.9263353235,2.4671531852,-0.698750558,0.2430952381,0.0691804961,0.2239049076,2.7704347935,1.20181048,1,1,100,-0.562356392805,-0.5790967398,-0.6128964770349999
34,0.1828282828,0.0537493341,0.0606706318,2.6685930983,-0.9615543701,0.2696969697,0.0886561462,-0.2163422734,2.1508389452,0.7497448773,0.5474747475,0.0850286687,-0.473144219,2.3009350706,-0.9553821463,0.153030303,0.0530086536,-0.6218264494,2.2421744842,0.4647555612,1,1,100,-0.551259009875,-0.56937422611,-0.59736843101
35,0.3515151515,0.1060173072,-0.0064935065,2.6660899654,-1.1500493357,0.1557575758,0.0826467585,0.1928096199,1.3910088214,0.3159514168,0.4927272727,0.0498887652,-0.2680953495,2.0131815499,0.5122375662,0.2339393939,0.0372813491,-0.633837021,1.3706336684,-0.2445677763,1,1,100,-0.5490118403650001,-0.564613244105,-0.59766679546
36,0.4396336996,0.0518417391,-0.1630680387,2.1855924662,0.3005516613,0.2155311355,0.0396624651,-0.2938450252,1.8864810282,-0.2769866331,0.3448351648,0.0435941143,0.0147717339,1.4334123262,-0.0653179659,0.2481318681,0.0299001635,-0.3560706621,3.2089820746,1.4706878008,1,1,100,-0.54701561276,-0.55602344983,-0.588571974125
37,0.3934013605,0.0944367649,0.0961510433,2.0537916539,-0.0172383123,0.1812489098,0.0841239733,-0.1743848595,3.0675596481,1.3506228811,0.4253497296,0.0484183106,0.4571924061,1.6390766782,-0.0034057367,0.1728100471,0.0307606434,-0.9470075059,1.8046203333,-0.5674611382,1,1,200,-0.48150884206,-0.4934560797349999,-0.5037693478199999
