Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
1,0.4314814815,0.1431806058,-0.0050761421,1.5,-0.1350615228,0.0925925926,0.0692899516,-0.0588235294,1.5,-0.3818017742,0.4759259259,0.0780858098,-0.0791130578,1.5,0.5392164548,0.3555555556,0.0314269681,-0.5,1.5,0.7071067812,1,1,5,0.0,0.0,0.000663
2,0.3593253968,0.1760540146,0.5275206312,1.4953519898,0.1423714238,0.2033730159,0.1598023067,0.2738694688,1.4946653732,0.0652389001,0.4373015873,0.0869509553,-0.5183284938,1.934999192,0.4706412446,0.4432539683,0.0364280527,-0.2377330829,1.9756365085,0.5101400385,1,1,5,0.0008699999999999,0.0008699999999999,0.001333
3,0.3666666667,0.0333333333,-1.0,1.0,-0.0,0.1111111111,0.1111111111,-1.0,1.0,0.0,0.5222222222,0.0777777778,-1.0,1.0,0.0,0.5777777778,0.0222222222,-1.0,1.0,0.0,1,1,5,0.0072999999999999,0.0072999999999999,0.007845
4,0.2748015873,0.1361803644,0.2978257571,1.8543730025,-0.331051683,0.1577380952,0.0957482616,0.3929376409,2.0874242106,-0.8424077253,0.5674603175,0.0877513666,-0.1484334874,2.1341538384,0.9432718697,0.3422619048,0.0471517248,-0.543718593,2.0678560658,0.547705741,1,1,5,0.0,0.0,0.0025075
5,0.244047619,0.1726190476,-1.0,1.0,-0.0,0.0714285714,0.0714285714,-1.0,1.0,0.0,0.6845238095,0.1011904762,-1.0,1.0,-0.0,0.4285714286,0.0714285714,-1.0,1.0,-0.0,1,1,5,0.0,0.0,0.0
6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,5,0.0078894999999999,0.0074799999999999,0.0076619999999999
7,0.4378741259,0.0970318861,0.0640543575,1.2718725721,0.1207699989,0.0455757576,0.0245148331,0.7323577854,2.5558130625,-1.0679294111,0.5165501166,0.0794835564,-0.1245148919,1.5352144145,-0.1797825613,0.2834778555,0.039645942,0.1542395367,1.3409036042,-0.2011771962,1,1,8,0.0137235,0.0299435,0.0300709999999999
8,0.4349381571,0.1635010191,0.8130126672,1.399797987,0.1435556536,0.1320470006,0.0798475153,0.8378171909,1.8107484007,-0.1855507544,0.4330148423,0.0911618499,0.648105524,2.0445723555,-0.5123884676,0.2938682746,0.0350454811,-0.7700879214,4.2151256334,1.6219103289,1,1,8,0.0522455,0.0312579999999999,0.028308
9,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,1,1,8,0.0401615,0.0240804999999999,0.0241185
10,0.4453805294,0.092587921,0.3311201274,1.766389504,-0.4339056888,0.0436868687,0.0410514731,-0.0644637696,2.1437213743,0.7936692101,0.5109326019,0.055495429,0.4461790592,1.2691188228,0.1286293623,0.2196882619,0.0228978901,-0.1946979885,2.103316699,-0.8651874122,1,1,8,0.0716785,0.032777,0.0269809999999999
11,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,1,1,8,0.0260994999999999,0.0406775,0.03625
