Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
1,0.2916666667,0.0416666667,-1.0,1.0,0.0,0.0416666667,0.0416666667,-1.0,1.0,0.0,0.6666666667,0.0,0.0,0.0,0.0,0.3888888889,0.0555555556,-1.0,1.0,0.0,1,1,5,0.0,0.0,0.000663
2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,5,0.0008699999999999,0.0008699999999999,0.001333
3,0.2814814815,0.1585254412,-0.0550561798,1.5,-0.4556385926,0.0722222222,0.0549971941,-0.032,1.5,-0.2947996201,0.6462962963,0.1092749518,-0.143691734,1.5,0.6729920582,0.3925925926,0.0456623259,-0.9846153846,1.5,-0.2390631469,1,1,5,0.0072999999999999,0.0072999999999999,0.007845
4,0.1607142857,0.0892857143,-1.0,1.0,0.0,0.1071428571,0.1071428571,-1.0,1.0,0.0,0.7321428571,0.0178571429,-1.0,1.0,-0.0,0.3511904762,0.0654761905,-1.0,1.0,0.0,1,1,5,0.0,0.0,0.0025075
5,0.3981481481,0.107183675,-0.3209549072,1.5,-0.567316578,0.1111111111,0.1039349274,-0.0384615385,1.5,0.3818017742,0.4907407407,0.0570779074,-0.9846153846,1.5,-0.2390631469,0.4259259259,0.01309457,-0.5,1.5,0.7071067812,1,1,5,0.0,0.0,0.0
6,0.5777777778,0.0222222222,-1.0,1.0,0.0,0.0555555556,0.0555555556,-1.0,1.0,0.0,0.3666666667,0.0333333333,-1.0,1.0,0.0,0.4666666667,0.1333333333,-1.0,1.0,-0.0,1,1,5,0.0078894999999999,0.0074799999999999,0.0076619999999999
7,0.6083333333,0.011785113,-0.5,1.5,0.7071067812,0.0722222222,0.0613631168,-0.0050761421,1.5,0.1350615228,0.3194444444,0.0519674637,-0.0384615385,1.5,-0.3818017742,0.2583333333,0.0824957911,-0.5,1.5,0.7071067812,1,1,8,0.0137235,0.0299435,0.0300709999999999
8,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,1,1,8,0.0522455,0.0312579999999999,0.028308
9,0.425,0.1181453907,0.3577981651,2.4827355759,-0.9095800181,0.125,0.0853912564,0.8222222222,1.7314285714,0.0,0.45,0.0763762616,-0.0714285714,3.0,0.8416975766,0.2416666667,0.0343592135,0.5471698113,2.107266436,0.2282688236,1,1,8,0.0401615,0.0240804999999999,0.0241185
10,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1,1,8,0.0716785,0.032777,0.0269809999999999
11,0.7083333333,0.0416666667,-1.0,1.0,0.0,0.0333333333,0.0333333333,-1.0,1.0,0.0,0.2583333333,0.0083333333,-1.0,1.0,0.0,0.225,0.025,-1.0,1.0,0.0,1,1,8,0.0260994999999999,0.0406775,0.03625
12,0.45,0.15,-0.0909090909,2.1851851852,0.8888888889,0.0875,0.0739509973,0.032967033,1.8457142857,0.4346507596,0.4625,0.1192424002,-0.9282051282,1.3956043956,-0.1866177402,0.3,0.0353553391,0.0,2.0,0.0,1,1,8,0.0653645,0.0251319999999999,0.020041
13,0.275,0.1436140662,0.0404624277,2.116620753,0.0844012877,0.125,0.0946484724,0.2131147541,2.5229853975,0.5896973512,0.6,0.0707106781,-0.1666666667,3.5,-1.4142135624,0.3416666667,0.0671854812,-0.3372434018,1.8482840237,0.3053162698,1,1,10,0.0553729999999999,0.0488355,0.0416295
14,0.55,0.05,-1.0,1.0,-0.0,0.025,0.025,-1.0,1.0,0.0,0.425,0.025,-1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,1,1,10,0.0332435,0.0551884999999999,0.0496765
15,0.4125,0.0739509973,-0.4351145038,1.8457142857,-0.4346507596,0.0875,0.0739509973,0.2967032967,1.8457142857,0.4346507596,0.5,0.117260394,-0.2380952381,2.2644628099,-1.0466216985,0.2625,0.0544862368,-0.5466666667,2.0969529086,0.6520236647,1,1,10,0.063203,0.0423075,0.033353
16,0.46,0.0663324958,-0.4028776978,2.2169421488,-0.3700366502,0.08,0.0509901951,0.5454545455,1.9556213018,-0.2715454179,0.46,0.0374165739,-0.3768115942,1.8469387755,-0.3436215967,0.27,0.0748331477,-0.4864864865,2.1339285714,0.7301958931,1,1,10,0.0427925,0.050071,0.0412575
17,0.2875,0.1780975856,0.4714714715,2.2365260016,0.0560106945,0.1875,0.1218349293,0.0953271028,3.4390027701,0.7581440033,0.525,0.1030776406,0.045045045,3.3806228374,0.8560080884,0.35,0.0661437828,0.2307692308,3.5102040816,-1.2958781932,1,1,10,0.0482024999999999,0.041137,0.0322775
