Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1,1,5,0.0,0.0,0.000663
2,0.4611111111,0.1635825763,0.2430531129,1.8827640154,-0.7109646099,0.0527777778,0.0529237747,0.2923923006,1.021947499,0.0164833285,0.4861111111,0.1248146774,0.0380885453,2.2722906534,1.0845863587,0.4083333333,0.0595119036,-0.4384236453,2.0380622837,0.4118470835,1,1,5,0.0008699999999999,0.0008699999999999,0.001333
3,0.4222222222,0.0222222222,-1.0,1.0,0.0,0.0555555556,0.0555555556,-1.0,1.0,0.0,0.5222222222,0.0777777778,-1.0,1.0,0.0,0.4666666667,0.1333333333,-1.0,1.0,-0.0,1,1,5,0.0072999999999999,0.0072999999999999,0.007845
4,0.5481481481,0.0733295921,-0.2,1.5,-0.7071067812,0.0,0.0,0.0,0.0,0.0,0.4518518519,0.0733295921,-0.2,1.5,0.7071067812,0.4444444444,0.1133115447,-0.1379310345,1.5,0.5280049792,1,1,5,0.0,0.0,0.0025075
5,0.5688888889,0.0622222222,-0.0526315789,3.25,-1.5,0.0,0.0,0.0,0.0,0.0,0.4311111111,0.0622222222,-0.0526315789,3.25,1.5,0.4266666667,0.0904310664,-0.0655737705,2.9310018904,1.1731251294,1,1,5,0.0,0.0,0.0
6,0.5377777778,0.0762063476,0.4230769231,1.1666666667,-0.4082482905,0.1111111111,0.1405456738,0.4285714286,1.5625,0.5929270613,0.3511111111,0.0694244416,0.2857142857,2.5243886052,-1.0736207227,0.4177777778,0.0217732422,0.4230769231,1.1666666667,0.4082482905,1,1,5,0.0078894999999999,0.0074799999999999,0.0076619999999999
7,0.5125,0.2011684617,-0.2977777778,1.9504330585,-0.5052527904,0.05,0.05,0.3333333333,1.0,0.0,0.4375,0.1780975856,-0.6149914821,1.5795821301,0.4045216825,0.3125,0.1138804197,-0.3941368078,2.0979822906,0.8331504072,1,1,8,0.0137235,0.0299435,0.0300709999999999
8,0.4611111111,0.1662958839,-0.0796641791,1.9938915019,0.0771060614,0.1333333333,0.0942809042,0.1428571429,2.0625,0.0883883476,0.4055555556,0.1165343165,0.0506926952,1.5821900826,0.181591284,0.3833333333,0.0816496581,0.1118421053,1.9583333333,-0.0680413817,1,1,8,0.0522455,0.0312579999999999,0.028308
9,0.45,0.1060660172,-0.2,1.5,0.7071067812,0.0,0.0,0.0,0.0,0.0,0.55,0.1060660172,-0.2,1.5,-0.7071067812,0.475,0.1338531534,-0.4235294118,1.5,-0.2736424661,1,1,8,0.0401615,0.0240804999999999,0.0241185
10,0.475,0.2155419526,0.4892307692,2.171469364,-0.3557618989,0.0666666667,0.1105541597,-0.1612903226,3.3966942149,1.4253263562,0.4583333333,0.1483707818,0.8355520752,1.2835733264,-0.2388366653,0.3583333333,0.1169639071,0.4965449161,1.4126877786,0.033272734,1,1,8,0.0716785,0.032777,0.0269809999999999
11,0.6214285714,0.1089139334,0.191791331,2.9959139785,-0.7326209256,0.0142857143,0.0349927106,-0.0243902439,5.1666666667,2.0412414523,0.3642857143,0.0822204602,0.3380491437,2.1372374511,-0.1008071431,0.3892857143,0.0864551317,-0.1118453255,1.8934932265,-0.1548053308,1,1,8,0.0260994999999999,0.0406775,0.03625
