Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
1,0.048951049,0.074882883,0.6631892697,2.3264602488,1.0609074974,0.1896436896,0.0706992724,0.0578788406,1.9245551642,-0.2136064491,0.7614052614,0.0661326421,0.3518191247,2.278980003,-0.2592257861,0.405039405,0.0485126998,0.3205800137,2.2782141898,-0.8247417616,1,1,5,0.0,0.0,0.000663
2,0.1660493827,0.1528298328,0.6028945112,1.8809029366,0.6240781012,0.3012345679,0.0826837969,-0.0271769937,3.9395892456,1.3081406249,0.5327160494,0.1287921211,0.5106774316,1.7023211999,-0.4644783827,0.4482363316,0.0666401831,0.5431895893,2.4950386769,0.3226070785,1,1,5,0.0008699999999999,0.0008699999999999,0.001333
3,0.037037037,0.0456623259,0.7398843931,2.4972299169,0.8367210143,0.3597883598,0.1786558687,0.429982134,1.240229256,-0.1283661535,0.6031746032,0.1385778831,0.3380741507,1.3402196655,0.0570186333,0.4380952381,0.0510410641,0.2044088176,2.3706194419,0.4016942381,1,1,5,0.0072999999999999,0.0072999999999999,0.007845
4,0.2283950617,0.1555694023,0.5379873077,1.4307775649,0.4131211097,0.2751322751,0.0755475149,0.3549423846,2.9611743425,-0.7564238091,0.4964726631,0.102330772,0.4073388378,2.0041405224,-0.4587567749,0.4100529101,0.0777390754,0.0725089873,2.3656703757,0.3506800747,1,1,5,0.0,0.0,0.0025075
5,0.2635802469,0.1943846665,0.662622896,1.7817697014,0.238292261,0.2327160494,0.1445499246,0.4882222931,1.9428101665,0.1323652956,0.5037037037,0.1036044499,0.7281092529,1.8008212802,-0.1035907021,0.4018518519,0.0926666371,0.4875721361,2.940696802,0.6394247669,1,1,5,0.0,0.0,0.0
6,0.2185185185,0.2120511883,0.5520925406,1.3734924084,0.4153709531,0.2055555556,0.1181127313,0.214846719,2.1477406218,-0.0709703133,0.5759259259,0.1326629236,0.4976002875,1.9754979834,-0.4531803733,0.4222222222,0.0715783263,-0.3027972028,2.9636376833,-1.1043780372,1,1,5,0.0078894999999999,0.0074799999999999,0.0076619999999999
7,0.2221099888,0.1002741929,-0.0310361164,2.8309950215,0.618342219,0.213973064,0.0894616026,-0.3234149224,1.775968185,-0.0813543244,0.5639169473,0.0616571367,0.1385540291,2.113262991,0.075327696,0.1840628507,0.0289014743,0.0372083888,1.6469416667,-0.0131944771,1,1,8,0.0137235,0.0299435,0.0300709999999999
8,0.3624579125,0.1447404218,0.7491339081,2.0142195258,0.0127992624,0.1342873176,0.0787445003,1.0115290048,3.0404102442,0.955835716,0.5032547699,0.079806898,0.4850967387,1.7190586994,-0.5487218088,0.2037037037,0.0304197155,-0.2280581105,1.6377902436,0.0458503327,1,1,8,0.0522455,0.0312579999999999,0.028308
9,0.4847374847,0.0796840851,0.3644473542,2.1631719115,-0.1934335668,0.1414407814,0.0574465802,-0.7575930416,2.0394669389,0.1467475784,0.3738217338,0.0667224695,0.458157779,2.080184366,0.399822485,0.2051363451,0.0452924039,0.130240681,2.2758615723,-0.0214251095,1,1,8,0.0401615,0.0240804999999999,0.0241185
10,0.5495522996,0.1302270102,0.5922065186,2.021033154,0.0911935528,0.168990269,0.09079615,0.396221543,2.2136314896,-0.390511066,0.2814574315,0.0787947921,1.0819612407,3.0855164277,0.9874621489,0.2388333888,0.043473383,0.2929499823,2.3039650492,-0.7021936225,1,1,8,0.0716785,0.032777,0.0269809999999999
11,0.2202581369,0.0855922602,-0.1841733094,3.2527683954,0.1020813587,0.1618967452,0.0910838547,0.2317565819,1.738565184,0.4100203374,0.6178451178,0.0578179285,0.2314967687,1.9047660678,-0.4055870102,0.1790123457,0.040288915,0.1492468149,1.6074584551,0.2019339566,1,1,8,0.0260994999999999,0.0406775,0.03625
12,0.1038159371,0.054466476,-0.3579856142,2.6239859153,0.3170266056,0.2620650954,0.074043246,0.1151108694,4.4348757298,1.3897965213,0.6341189675,0.0766265579,0.4468499055,2.6432726208,-0.6627392765,0.2488776655,0.0380022513,0.2398791778,1.7554290856,0.2823468183,1,1,8,0.0653645,0.0251319999999999,0.020041
13,0.562254902,0.0501727121,-0.4200554581,1.6207211421,0.4223743913,0.1160130719,0.052811408,0.10758016,2.1739002395,-0.1481394007,0.3217320261,0.0806213191,0.1953792562,1.486856247,0.3125022459,0.1205882353,0.0275034513,0.7279370433,2.7560682727,0.3976561327,1,1,10,0.0553729999999999,0.0488355,0.0416295
