Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
1,0.1761904762,0.1360272082,-0.8421932464,1.3464352653,0.0877749097,0.1985347985,0.026707291,-0.9049497659,1.2837054796,-0.2458859255,0.6252747253,0.1098571379,-0.8220911992,1.3524308501,-0.035924327,0.2805860806,0.0549377284,0.3053284496,1.2002513909,-0.3250064384,1,1,5,0.0,0.0,0.000663
2,0.0966666667,0.089690827,0.2803166607,1.2445667104,0.1102621427,0.2161904762,0.1195076825,0.2965367965,1.3162603366,0.1836752945,0.6871428571,0.0456646556,-0.2737403231,1.2892925721,0.3457293023,0.3680952381,0.0685383518,0.4328252393,2.0279872904,-0.7542416631,1,1,5,0.0008699999999999,0.0008699999999999,0.001333
3,0.2888888889,0.0939529696,-0.1237188873,2.0974375275,0.4602312565,0.2,0.0538631095,-0.4757709251,1.815527388,-0.6122692079,0.5111111111,0.0623609564,0.0226337449,1.2422524565,0.1315095,0.3555555556,0.0689426314,-0.4190981432,1.779473773,-0.1632576395,1,1,5,0.0072999999999999,0.0072999999999999,0.007845
4,0.3047619048,0.0576367545,-0.5535193669,3.012155063,1.2705880156,0.0333333333,0.0666666667,-0.25,3.25,1.5,0.6619047619,0.0641533028,0.5238095238,1.1666666667,-0.4082482905,0.380952381,0.0835032282,-0.3080168776,3.2297243704,-1.484777805,1,1,5,0.0,0.0,0.0025075
5,0.1285714286,0.1120313367,0.2879914984,1.245984533,-0.0948589744,0.1261904762,0.072060695,0.8267590618,1.9628391907,0.7864895614,0.7452380952,0.1761904762,0.5369983901,1.362755521,-0.2414368349,0.3904761905,0.0649437224,0.4529262087,1.8950745751,0.7001217104,1,1,5,0.0,0.0,0.0
6,0.18,0.1253439712,-0.1859103755,1.4710252496,-0.3043393317,0.3033333333,0.08326664,-0.3724808895,2.152089497,-0.3783797481,0.5166666667,0.1333333333,0.1222570533,1.4189453125,-0.03515625,0.4233333333,0.0573488351,0.034620506,1.9226168736,-0.2226770648,1,1,5,0.0078894999999999,0.0074799999999999,0.0076619999999999
7,0.4660062696,0.0917708878,0.5768024246,1.5524950375,0.1092752666,0.1684346917,0.0424290182,0.6998020624,2.2448734976,0.6934724426,0.3655590387,0.0605129743,0.3696704654,1.8090065714,0.0083216257,0.2131243469,0.0528107044,-0.3130785854,2.4644120356,-0.659853822,1,1,8,0.0137235,0.0299435,0.0300709999999999
8,0.5207142857,0.1452138934,0.5280671756,1.6433618431,0.4944408589,0.0933333333,0.0786276855,0.5480655516,1.3050114065,-0.2155520247,0.385952381,0.0758414625,0.2393415236,2.4862437292,-0.7790041497,0.3021428571,0.0458875684,-0.6606944749,1.7218539894,0.4682647588,1,1,8,0.0522455,0.0312579999999999,0.028308
9,0.5333333333,0.0699854212,0.1239316239,2.8127572016,1.1642636432,0.1142857143,0.0233284737,-0.9230769231,1.1666666667,0.4082482905,0.3523809524,0.0645936189,0.3072289157,2.3638941399,-0.7500308204,0.219047619,0.0233284737,-0.1904761905,1.1666666667,-0.4082482905,1,1,8,0.0401615,0.0240804999999999,0.0241185
10,0.286969697,0.0929745169,-0.2616463923,2.2383586304,-0.8829998368,0.1936363636,0.0492216739,-0.625355954,1.4771511294,-0.346631583,0.5193939394,0.0852716719,0.06273059,2.5487167839,0.4789551758,0.1924242424,0.0482950832,-0.6010733453,1.5958560667,-0.1128308815,1,1,8,0.0716785,0.032777,0.0269809999999999
11,0.4289655172,0.1144344426,-0.2092025604,1.8238045535,0.5350589263,0.1357913351,0.0525687359,-0.9686563839,2.6943549632,0.97343453,0.4352431477,0.0784053374,0.1506231422,1.7730682895,-0.5605957379,0.2038903625,0.0373309652,-0.024032355,2.9663952083,1.217000927,1,1,8,0.0260994999999999,0.0406775,0.03625
12,0.1166666667,0.040824829,-0.6666666667,1.1666666667,0.4082482905,0.2444444444,0.0368513866,-0.25,2.2169421488,0.3700366502,0.6388888889,0.0248451997,-0.0,1.25,0.0,0.1666666667,0.0351364184,-0.5714285714,1.5625,0.5929270613,1,1,8,0.0653645,0.0251319999999999,0.020041
13,0.5601960784,0.0294418147,0.0638369108,3.0469896022,1.3092026162,0.1221895425,0.0187142228,-0.0965782816,2.6292160857,-0.6554772838,0.3176143791,0.0459562883,0.0886134658,2.6469608475,-0.6982891331,0.1649673203,0.0207853414,-0.0795436072,1.860588654,0.7271354715,1,1,10,0.0553729999999999,0.0488355,0.0416295
14,0.3692307692,0.0535707241,-0.4985994398,2.190509087,0.6261779404,0.1038461538,0.0312463016,0.1900311526,2.2685950413,0.1790421687,0.5269230769,0.0480384461,-0.759410802,1.3269230769,-0.2278746804,0.1384615385,0.0076923077,-0.3157894737,3.25,1.5,1,1,10,0.0332435,0.0551884999999999,0.0496765
15,0.3490441305,0.0922662841,0.7210775323,1.3972079156,-0.4865115011,0.2146014303,0.0867299585,0.3357741588,1.4773939906,0.5044737914,0.4363544392,0.0398188765,-0.6950672572,1.8212986036,0.4384310916,0.1316902145,0.0262463518,0.0825648001,2.5552170402,0.8711894354,1,1,10,0.063203,0.0423075,0.033353
16,0.6911500975,0.0900084754,0.1542784397,1.2197965538,0.3289121737,0.0717348928,0.0606284824,0.2310675846,1.3259957374,-0.1944936852,0.2371150097,0.0303376973,0.0051222599,1.1700271827,-0.4016073625,0.2012475634,0.0093091709,-0.9733647777,2.1675861496,-0.6322402119,1,1,10,0.0427925,0.050071,0.0412575
17,0.2490950226,0.0545377674,-0.5725933321,1.3221553861,-0.2697412065,0.3188536953,0.0843104201,-0.350169963,1.3590091881,0.2171927818,0.4320512821,0.0329782553,0.1413800595,1.2822906769,0.15505974,0.1788084465,0.027208332,-0.4147762299,2.8299683696,1.1811090184,1,1,10,0.0482024999999999,0.041137,0.0322775
18,0.2696232339,0.0577107266,-0.951055017,2.0571272988,0.57021964,0.1941915228,0.0386846761,0.3172613417,1.3622343274,0.4079830293,0.5361852433,0.0500230989,-0.5525185627,1.9542036827,0.2577502792,0.1869701727,0.0121311587,-0.8070814675,1.4948288869,-0.0054919212,1,1,10,0.0465094999999999,0.0569799999999999,0.0521655
19,0.3733814103,0.1244670581,0.944781153,1.7463200769,-0.2136330309,0.2279594017,0.1162683743,0.9187004224,2.1092628936,0.6412770244,0.398659188,0.0355318684,0.492035733,2.5686587338,0.6178475997,0.0646901709,0.0167414871,0.6280198522,1.8983052174,-0.0450605289,1,1,20,0.0457685,0.046836,0.0328915
20,0.5500189466,0.0554772931,-0.3090764917,2.3783978511,-0.8423314499,0.1338006821,0.0516847971,-0.277703538,2.6242769041,1.1180581477,0.3161803714,0.012214007,0.2855750171,2.0912201992,-0.257264396,0.064355185,0.0028866848,-0.2782880594,2.0058462641,0.3238992141,1,1,20,0.0609195,0.0542075,0.0399075
21,0.5135630573,0.0437836582,-0.1685496026,1.8703120012,-0.2602007012,0.13376862,0.0359751129,0.2794583375,2.3883284111,0.5365283563,0.3526683227,0.0248262626,-0.4928254764,2.2959804633,-0.7215310335,0.044329719,0.0078583467,-1.1766834015,2.0121345094,-0.3241815395,1,1,20,0.053605,0.04952,0.0376375
22,0.5804118252,0.0452522614,0.6186005897,2.2594713368,-0.8416906748,0.10267726,0.0155496916,-1.0689193432,3.0353231789,1.299697718,0.3169109148,0.0346756757,0.4648775024,1.4279331688,0.3362745361,0.0564890897,0.0132297775,0.501435819,1.2773414695,-0.338062792,1,1,20,0.0614185,0.0486535,0.0381055
23,0.4841769713,0.0325313569,0.8284065057,2.6086653315,-0.825849299,0.1571470689,0.0457253632,0.8292225078,1.6703048541,0.0825638319,0.3586759598,0.0213159108,0.2973643641,1.6816168509,-0.2747234119,0.0558756721,0.0080310652,0.0760657974,3.1024368986,0.8830931603,1,1,20,0.063417,0.055839,0.040537
24,0.1533333333,0.1253439712,0.3819232622,1.1709346223,-0.4009334986,0.2566666667,0.0997775303,0.2660857909,1.5207120934,0.1590592157,0.59,0.0533333333,0.3375680581,2.4763793945,-0.3647460938,0.3833333333,0.0788810638,-0.0317460317,1.953125,-0.0339570906,1,1,20,0.068004,0.055907,0.0394445
25,0.4255555556,0.097853506,0.2275803285,2.3358696696,0.799558908,0.1222222222,0.0835183132,0.1165587419,2.0385699742,0.0988955201,0.4522222222,0.0415145371,0.1999610212,1.3103607524,0.0846644199,0.4244444444,0.0724014869,-0.1929546395,2.6550051041,0.7809378046,1,1,50,0.0515355,0.0554309999999999,0.0427585
26,0.5155555556,0.1092284954,0.8020911128,1.7994057278,-0.7065408407,0.0888888889,0.1295767088,0.7959183673,2.6660899654,1.1500493357,0.3955555556,0.0355555556,-1.1370967742,2.5908203125,-0.55078125,0.5488888889,0.0650166171,0.2663329821,1.624994541,-0.622654144,1,1,50,0.0498334999999999,0.052097,0.04009
27,0.3755555556,0.1329902995,0.8833776682,1.9567127374,0.6461864212,0.1277777778,0.0816496581,0.3012704174,2.2147633745,-0.0774915737,0.4966666667,0.0679142524,0.1791917919,1.5342798697,-0.1216264777,0.4911111111,0.1042669887,0.4050554871,1.4392356264,-0.5024386583,1,1,50,0.0542244999999999,0.0618279999999999,0.0448845
28,0.0,0.0,0.0,0.0,0.0,0.2533333333,0.0266666667,-0.3157894737,3.25,-1.5,0.7466666667,0.0266666667,-0.3157894737,3.25,1.5,0.4,0.0596284794,0.6666666667,1.25,-0.0,1,1,50,0.045764,0.04826,0.0343935
29,0.4622222222,0.1195877693,0.674689733,1.2445667104,0.1102621427,0.1777777778,0.1507184441,0.6686746988,1.2296786389,-0.2115471545,0.36,0.0326598632,0.5238095238,1.1666666667,0.4082482905,0.36,0.0326598632,0.5238095238,1.1666666667,0.4082482905,1,1,50,0.0433395,0.0528094999999999,0.039564
30,0.3555555556,0.1384214356,0.3150684932,2.4936231268,-0.6653320676,0.1591919192,0.0803690092,-0.3364975904,2.1662889689,-0.1062601403,0.4852525253,0.0735436781,0.733862536,2.1325562445,0.6307043911,0.1874747475,0.0212707223,-0.0901106554,1.8156408352,0.5344838356,1,1,50,0.0508094999999999,0.0519045,0.037777
31,0.4066666667,0.0975249256,-0.6361071932,1.3093283256,0.0900800147,0.1497435897,0.0423690309,-0.5325027305,1.2628272623,0.2256111616,0.4435897436,0.0570822446,-0.6869455006,1.2742594883,-0.3107381243,0.1897435897,0.0446477925,-0.6648083624,1.9169753065,-0.57687148,1,1,100,0.0367414999999999,0.0373735,0.0287364999999999
32,0.1772727273,0.0915995107,-0.2656998702,2.1474980801,-0.3416353608,0.245959596,0.0910296619,-0.24778164,2.2332081834,-0.5308879638,0.5767676768,0.0560947207,0.0489745524,2.0439509556,0.3174707764,0.2494949495,0.0385760736,0.6593063455,1.6790876576,-0.038536409,1,1,100,0.0414785,0.0421315,0.0329825
33,0.3272727273,0.0886590233,0.2506142506,1.3093283256,-0.0900800147,0.2036363636,0.0843796571,-0.3741566507,2.7976918985,1.126541871,0.4690909091,0.0558891728,-0.2747003563,2.8203698509,1.1801464783,0.2412121212,0.063030303,-0.3154001869,2.830462103,-1.1532914201,1,1,100,0.04111,0.0451695,0.035891
34,0.5417582418,0.0917682944,-0.5538631706,1.463380344,0.0576101489,0.1534798535,0.0635338456,-0.3340402476,2.485943374,0.9013100099,0.3047619048,0.0869807196,-0.2206293883,1.4550288776,0.1337620252,0.1512820513,0.0241202603,0.1417410198,2.3786213168,0.1907898894,1,1,100,0.047386,0.0479794999999999,0.0375945
35,0.4934798535,0.1111407225,-0.0019265917,2.3345397116,0.8393860025,0.1385347985,0.087849306,0.0742062067,1.7628587859,-0.3255159707,0.367985348,0.0319581903,-0.5255941712,2.7552897522,-1.1004385662,0.2246153846,0.0675016741,-0.225179771,1.7377528978,0.5266239483,1,1,100,0.0395375,0.042892,0.032139
36,0.5405555556,0.0522222222,0.1572599164,1.4948852702,-0.0176694952,0.1022222222,0.0215452438,-0.1343612335,2.3587596197,-0.2830922144,0.3572222222,0.0358150255,0.103343465,1.7837246797,-0.4719827561,0.1111111111,0.0233068633,-0.8333333333,2.8305785124,1.1701586323,1,1,100,0.0346655,0.043118,0.0345965
37,0.6583488132,0.1060996649,0.7141877478,1.7257469943,-0.165565077,0.1278574705,0.0861311101,0.4633665512,1.4707031874,-0.4056095381,0.2137937163,0.0417582556,0.0330039012,2.1610038696,-0.127219246,0.1766729733,0.0497685674,0.1982054947,2.1124966629,0.7664604108,1,1,200,0.0358815,0.0391355,0.0362904999999999
38,0.5619306184,0.0613732589,0.0967238117,1.1815672337,-0.3757198724,0.1430995475,0.0427951475,0.1817380312,1.5589458922,0.2533265843,0.2949698341,0.0242859905,-0.3533876179,1.8341030869,0.3188699781,0.1335972851,0.0167497231,0.1259485382,1.1971502639,0.3342495734,1,1,200,0.0204275,0.028503,0.0253224999999999
39,0.259008769,0.1608211797,0.6979280314,1.6229070498,-0.1621781624,0.3034503592,0.1143254631,0.2055956026,3.0655864283,1.3369718515,0.4375408718,0.0984107342,0.3440093154,1.6325273681,-0.2824705909,0.0949823193,0.0138918144,0.0276063093,1.3179675602,-0.0942377755,1,1,200,0.0227415,0.0299765,0.026005
40,0.4983219955,0.0295966929,-0.202633944,2.9856704575,1.2399862584,0.1448526077,0.0648945205,0.4127116388,1.4728340041,0.5316720462,0.3568253968,0.0626805279,0.6062400934,1.4929991537,-0.1456997603,0.1574603175,0.0268324401,-0.8384716105,1.6082414048,0.5607438561,1,1,200,0.0201165,0.0267365,0.026228
