Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
1,0.2552910053,0.1523290439,-0.0008274293,1.5,0.0520591765,0.0753968254,0.0585905677,-0.0136518771,1.5,-0.2007001872,0.6693121693,0.0939805273,-0.0005162623,1.5,0.0422019093,0.369047619,0.0350466701,-0.9411764706,1.5,0.4703304603,1,1,5,-0.7822976916,-0.7822976916,-0.78197507498
2,0.3055555556,0.1388888889,-1.0,1.0,0.0,0.0416666667,0.0416666667,-1.0,1.0,0.0,0.6527777778,0.0972222222,-1.0,1.0,0.0,0.4027777778,0.1527777778,-1.0,1.0,0.0,1,1,5,-0.7430794881,-0.7430794881,-0.7430461820400001
3,0.4351851852,0.1328953712,-0.1091314031,1.5,-0.6155602359,0.1111111111,0.1039349274,-0.0384615385,1.5,0.3818017742,0.4537037037,0.0346449758,-0.3902439024,1.5,0.3818017742,0.4259259259,0.01309457,-0.5,1.5,0.7071067812,1,1,5,-0.7996889327,-0.7996889327,-0.79936463358
4,0.5222222222,0.0777777778,-1.0,1.0,0.0,0.0555555556,0.0555555556,-1.0,1.0,0.0,0.4222222222,0.0222222222,-1.0,1.0,0.0,0.5222222222,0.0777777778,-1.0,1.0,0.0,1,1,5,-0.7517813631,-0.7517813631,-0.751164965
5,0.4,0.1296362432,-0.6224489796,1.8819752749,0.4972591639,0.1527777778,0.1202813061,0.2402234637,1.9237333333,0.3233161507,0.4472222222,0.062915287,-0.5507657402,2.304834536,1.1133301216,0.3777777778,0.0471404521,0.0588235294,1.4074074074,0.3142696805,1,1,5,-0.7816703334,-0.7816703334,-0.7816703334
6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1,1,5,-0.737683458135,-0.7377964638,-0.73774623906
7,0.5354285714,0.0970015779,-0.1795026515,2.5041780395,-0.5517510287,0.1657142857,0.0781277517,0.6981429573,1.3700750507,0.0490036405,0.2988571429,0.0670854871,-0.420666296,1.6122310422,-0.0934553673,0.1594285714,0.0339753145,0.3162490876,1.2720902331,-0.1300528193,1,1,8,-0.8307135604900001,-0.8201250117400001,-0.8160555260600001
8,0.5017582418,0.1183841529,0.5769903731,1.3462374329,0.3405796086,0.0887912088,0.0463514579,0.4487838584,2.8861062786,-1.1872657566,0.4094505495,0.0891459204,0.2114238158,1.6188813816,-0.0788568314,0.2147252747,0.0416735855,-0.9015475607,2.2671381505,-0.6181437539,1,1,8,-0.867486659555,-0.909953838135,-0.908781593595
9,0.5052680653,0.0336200566,-0.3761075812,1.4537714972,-0.4738325622,0.1226307026,0.0230131671,-0.3145964304,1.3848762844,0.1073846508,0.3721012321,0.0375591098,-0.0609426257,2.4737861052,-0.4688883834,0.1875524476,0.0236110002,0.3143337778,2.8184534419,-1.1000071738,1,1,8,-0.8451116836000001,-0.86560129819,-0.866006241915
10,0.3155988456,0.1976843849,0.5617576882,1.6268996483,-0.0531870456,0.2725729826,0.1347432532,0.5333137855,1.4048020029,0.4502396977,0.4118281718,0.092817685,-0.1269074669,1.4822503415,0.0461517635,0.2383183483,0.023856948,-0.2198340199,2.2100377616,-0.2115074808,1,1,8,-0.78233941719,-0.8456695959699999,-0.847007191905
