Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
1,0.3586419753,0.1532257431,0.2591735935,1.9548953412,0.4098707567,0.1450617284,0.104574533,0.3427015462,2.1396338428,0.2017137353,0.4962962963,0.0715783263,0.2340482335,1.3793621608,-0.0999194229,0.3790123457,0.0781199606,-0.5091297199,2.5917025033,-0.4173084022,1,1,5,-0.7822976916,-0.7822976916,-0.78197507498
2,0.1111111111,0.1146653747,0.0302853815,2.145969715,0.7401728411,0.2203703704,0.1126654944,0.3704857394,2.2059120417,0.370049207,0.6685185185,0.1368295297,0.2824000988,1.9588771527,-0.5546677614,0.3626984127,0.0545486993,-0.2107951834,2.5735581221,-0.5695640064,1,1,5,-0.7430794881,-0.7430794881,-0.7430461820400001
3,0.2802469136,0.1674490097,0.4457753825,2.0816352293,-0.1851435626,0.2800705467,0.1753972022,0.4257479975,2.9139131927,0.4595784881,0.4396825397,0.1292895875,0.3842441068,1.9638450783,0.3315632038,0.4316578483,0.0930039573,0.2382280435,2.3037343761,0.8161116305,1,1,5,-0.7996889327,-0.7996889327,-0.79936463358
4,0.5185185185,0.0965807764,-0.5457771469,1.898615917,-0.6000373148,0.0740740741,0.0907218423,-0.44,1.8333333333,0.6804138174,0.4074074074,0.033126933,-0.3575418994,3.3,-0.7826237921,0.3950617284,0.0374462985,-0.2545982575,2.3132325142,-0.4845013044,1,1,5,-0.7517813631,-0.7517813631,-0.751164965
5,0.337037037,0.167733213,0.4615277758,2.0639959079,0.3361930464,0.1697530864,0.1159771249,0.4539230345,1.9321276954,-0.0508498762,0.4932098765,0.0695260152,-0.0455879674,1.5803801813,-0.1192846237,0.3604938272,0.0562575674,0.337520497,2.3930317012,-0.335065609,1,1,5,-0.7816703334,-0.7816703334,-0.7816703334
6,0.2456790123,0.1726255289,0.6682048882,1.4646886738,-0.3518839175,0.1975308642,0.1068988956,0.5967880858,2.0908166521,0.6564425113,0.5567901235,0.0956810036,0.5086176738,1.4085022899,-0.1275387458,0.3962962963,0.0554319613,-0.0787492762,2.204559949,0.4665140428,1,1,5,-0.737683458135,-0.7377964638,-0.73774623906
7,0.3368628817,0.0924865807,0.8940614488,1.4626558889,-0.4536349076,0.1500592128,0.0747616032,0.4183229374,4.2825034563,1.384389514,0.5130779055,0.0563909068,-0.3617734294,2.0279100926,0.6281294558,0.2321583653,0.0345003368,0.2129860498,3.7267559532,-1.2086833626,1,1,8,-0.8307135604900001,-0.8201250117400001,-0.8160555260600001
8,0.3444444444,0.1026930507,0.5833170676,1.7339048077,-0.6001098083,0.1468013468,0.1581452485,0.91694566,1.5756606916,0.6406607408,0.5087542088,0.0723255522,1.2643617428,4.0333258737,-1.4359094366,0.2430976431,0.0424429439,0.4817224571,2.8421035985,1.0882453439,1,1,8,-0.867486659555,-0.909953838135,-0.908781593595
9,0.3493876494,0.100893467,0.714413048,1.7490675802,-0.3545962118,0.3253228253,0.0511185631,-0.0355752411,2.9577052531,0.0993764262,0.3252895253,0.0761135395,0.5134684518,1.6381858154,0.2722457481,0.2300810301,0.03497378,-0.4309484354,3.4573782202,0.2123642747,1,1,8,-0.8451116836000001,-0.86560129819,-0.866006241915
10,0.3863247863,0.1795785052,0.7696010432,1.7637319119,-0.0952407177,0.2125719959,0.125572073,0.6374688299,1.7607991124,-0.1468843508,0.4011032178,0.1026848659,0.5125953035,1.4393689434,-0.1504961575,0.2552472219,0.0906279149,0.1580446552,5.9787006739,2.078788987,1,1,8,-0.78233941719,-0.8456695959699999,-0.847007191905
