Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
1,0.25,0.0,0.0,0.0,0.0,0.05,0.040824829,-0.9230769231,1.1666666667,-0.4082482905,0.7,0.040824829,-0.9230769231,1.1666666667,0.4082482905,0.45,0.0666666667,-0.1184210526,2.078125,-0.84375,1,1,5,-0.7822976916,-0.7822976916,-0.78197507498
2,0.0966666667,0.1620699437,0.4143625192,3.1157957347,1.4108925892,0.2066666667,0.0533333333,0.1373239437,1.4189453125,-0.03515625,0.6966666667,0.1431394037,-0.8322550832,3.0387267611,-1.3398039738,0.28,0.0266666667,-0.25,3.25,1.5,1,1,5,-0.7430794881,-0.7430794881,-0.7430461820400001
3,0.0961904762,0.0303270159,0.0384615385,1.1666666667,0.4082482905,0.2361904762,0.0336178335,0.0221013857,1.417700043,0.4282185757,0.6676190476,0.0436851236,0.0731617194,1.6896234223,-0.2905216006,0.3771428571,0.0803281253,0.2696147486,1.8619686113,0.2122104515,1,1,5,-0.7996889327,-0.7996889327,-0.79936463358
4,0.4111111111,0.040824829,0.0598290598,2.8127572016,-1.1642636432,0.2,0.0538631095,-0.0046728972,1.815527388,-0.6122692079,0.3888888889,0.0464811126,-0.1,1.2755102041,-0.2561204163,0.3333333333,0.0527046277,-0.5,2.5,0.0,1,1,5,-0.7517813631,-0.7517813631,-0.751164965
5,0.2544444444,0.0917188404,-0.1158747871,2.5682970341,0.6373937067,0.3711111111,0.1137139578,0.305076052,1.2801033385,-0.2677883768,0.3744444444,0.1022946603,-0.1295749921,2.4144230574,0.7270326591,0.3666666667,0.0666666667,-0.3157894737,3.25,1.5,1,1,5,-0.7816703334,-0.7816703334,-0.7816703334
6,0.4022222222,0.1366531159,-0.3414095359,1.2499339018,0.0121947186,0.1944444444,0.1551582227,0.1496598639,1.4965483235,0.2754287977,0.4033333333,0.103494498,-0.2205983101,2.7334799676,1.1871459154,0.4811111111,0.0653197265,-0.1954172071,2.4255230437,0.947942844,1,1,5,-0.737683458135,-0.7377964638,-0.73774623906
7,0.4822857143,0.1068953331,0.1971679626,2.0871263346,-0.6201737818,0.0675750916,0.0436590111,0.2681651392,2.1875855894,-0.0707496561,0.4501391941,0.0670871672,0.0794220482,2.1222616802,0.7497297574,0.258989011,0.0551909594,0.1512003271,2.2385040224,-0.4314683793,1,1,8,-0.8307135604900001,-0.8201250117400001,-0.8160555260600001
8,0.3793939394,0.065314103,0.2323268814,1.7027035535,-0.6512500222,0.1375757576,0.0545319849,0.6745513531,1.6239423484,-0.0102050893,0.483030303,0.0309980893,-0.3314185571,1.7980581741,-0.4084748698,0.1884848485,0.0337657898,-0.4530164296,2.0945757553,-0.3373408751,1,1,8,-0.867486659555,-0.909953838135,-0.908781593595
9,0.3242424242,0.1223911513,0.2414724105,2.2439311806,0.0549903448,0.1454545455,0.0270378966,0.1995629494,2.4152895389,0.9007542788,0.5303030303,0.1333945375,0.3213014743,1.8628761915,-0.0646726693,0.1580808081,0.0242003001,0.8349861811,1.5299392065,-0.4205369184,1,1,8,-0.8451116836000001,-0.86560129819,-0.866006241915
10,0.3224242424,0.063840941,0.275676196,1.3193010699,0.1464855124,0.1781818182,0.0417434554,0.3573264781,1.5424201405,0.4841850992,0.4993939394,0.0510819576,-0.5909998669,1.4024493243,0.4914938912,0.2345454545,0.048393854,-0.0177856264,2.5354836951,-0.4415713526,1,1,8,-0.78233941719,-0.8456695959699999,-0.847007191905
11,0.1777777778,0.0647883544,-0.2337662338,2.6660899654,-1.1500493357,0.2111111111,0.0797372227,-0.1773700306,1.7447921576,0.2009026265,0.6111111111,0.0464811126,0.4,2.5,-0.7683612489,0.1611111111,0.0111111111,-0.3157894737,3.25,-1.5,1,1,8,-0.855200685915,-0.84334081333,-0.8425687089249999
12,0.2478787879,0.0612810893,-0.1050289702,1.4010841424,0.1641517295,0.2618181818,0.0579604374,-0.0315709657,1.9792558973,-0.4596952287,0.4903030303,0.0434676875,-0.771795783,1.3921416245,0.0405435795,0.2509090909,0.0503212818,0.0045793809,2.1633583321,0.3605075724,1,1,8,-0.78064898147,-0.83954993176,-0.8429114419399999
13,0.5845662507,0.0068047284,0.141223615,1.2981467646,-0.3989456879,0.1201960784,0.0133520511,-0.1267133241,1.6762049528,-0.1716602349,0.2952376708,0.0169358955,-0.0587537859,2.5356644854,0.6052184827,0.1664795009,0.0278068067,-0.3099042335,1.5056204372,0.0155619278,1,1,10,-0.81292372814,-0.8435807430300001,-0.843804211205
14,0.2901848945,0.061551774,0.4032609768,1.7150164287,-0.4599963859,0.2675318332,0.10851009,0.317035043,1.2840239268,-0.2807673964,0.4422832723,0.0689081325,-0.1636352071,2.1754893007,-0.469221427,0.145818943,0.0142525862,0.0186544606,1.168569959,0.4049142477,1,1,10,-0.8995262120699999,-0.870252273205,-0.87448808933
15,0.3226573427,0.0279207572,0.4230769231,1.1666666667,-0.4082482905,0.194965035,0.0866451909,0.0726039587,3.0932258484,1.3764268725,0.4823776224,0.0700061125,-0.1512339081,2.9879591227,-1.30654625,0.1225174825,0.0134850852,-0.2438363871,3.0605385153,-1.3237420231,1,1,10,-0.8341680580349999,-0.883145719675,-0.8937313512999999
16,0.5438324421,0.0613178333,0.2772659387,1.2673104269,-0.0078802478,0.1054278075,0.0494717151,0.2415630933,2.2582695041,0.0178367689,0.3507397504,0.0571106666,-0.0090070212,1.4761628067,-0.058319495,0.1562566845,0.0239823922,-0.3897324312,1.8615878275,-0.3572974128,1,1,10,-0.91009308044,-0.89481076328,-0.90014748544
17,0.3214670484,0.0568110823,-0.1547616458,1.2620198034,0.1553928832,0.2959599224,0.042065955,-0.4363060988,2.3515079903,0.2977136957,0.3825730292,0.0737654222,0.8277462901,1.9862949527,0.7980669547,0.1581417182,0.0120853102,0.7508324063,2.2669869971,-0.6334847793,1,1,10,-0.922143150785,-0.94980149664,-0.95763748021
18,0.3916666667,0.0234389146,-0.6072507553,1.9759184446,-0.1797644312,0.1716666667,0.0546707316,0.1125541126,2.0407850914,0.8149498292,0.4366666667,0.0497338596,0.4243452648,1.2060869084,-0.3462653651,0.1672222222,0.0119670329,-0.5186319551,1.3163830262,-0.4520320786,1,1,10,-0.8746622492249999,-0.8681950274349999,-0.87228294636
19,0.2379746559,0.062623597,0.789859557,2.1299957286,0.0730639093,0.2840375792,0.0558525248,0.5542029581,2.0183193023,0.2621774841,0.4779877649,0.0576020193,0.7301829062,2.9646976498,-0.7868264347,0.0611044352,0.0126541978,0.4540388947,4.1112394199,0.2278672441,1,1,20,-0.74886535544,-0.75699315611,-0.7864238003849999
20,0.649279644,0.0416346229,0.7605769789,1.9026650948,-0.4528538927,0.0588649378,0.0228241936,0.4764797922,2.1146151857,0.1632950977,0.2918554182,0.0223086515,0.2575218724,2.1821701,-0.1931582475,0.1260896524,0.0280614026,-0.0906942344,2.4443489435,-0.624887429,1,1,20,-0.7693178964999999,-0.7837758787,-0.814909627325
21,0.7214167108,0.0269387893,0.2249409789,1.4408777561,-0.0294151542,0.0521654428,0.022608188,0.5109793666,2.3534813701,0.8043741534,0.2264178464,0.0311132292,-0.1488353185,1.9786151769,0.3460546935,0.0980922099,0.0134365821,-0.2144278498,2.0519776036,-0.515748073,1,1,20,-0.74889904875,-0.7619802822899999,-0.79402493736
22,0.6202867384,0.0162007168,0.6679657112,1.6920971401,0.3566491579,0.0656003584,0.010096479,0.4208100685,1.435109581,-0.0503630706,0.3141129032,0.0111103162,0.081512879,2.9325764129,1.209139328,0.0551792115,0.0147433868,0.831947987,1.6496341274,-0.3859914023,1,1,20,-0.77490415751,-0.79991707355,-0.82360042296
23,0.5820650614,0.0331143704,0.1806290612,1.4269656633,-0.3427036792,0.1034999928,0.0349335797,0.031732465,1.744760997,0.6558016671,0.3144349458,0.0071730433,-0.1838384225,1.3561679206,-0.2179484385,0.0535515282,0.0141604405,0.4135071934,1.4483535961,0.4432369223,1,1,20,-0.7858303956849999,-0.800286015235,-0.837772426425
24,0.5618978244,0.0331025016,-0.3459606852,1.685496666,-0.0120172902,0.1169733045,0.0050768484,-0.7299824123,1.3148375435,-0.0961865382,0.3211288711,0.0295243862,-0.2927509838,1.9606513452,0.2592292194,0.0753413253,0.0152174287,-0.5616699945,2.7298886716,1.1546024731,1,1,20,-0.770022298175,-0.79742173178,-0.83245623356
25,0.3477777778,0.2063079324,0.7980809289,2.0911607895,-0.5727392614,0.1722222222,0.17249083,0.5262628801,1.3595366815,0.3251520896,0.48,0.1180918245,-0.7270668177,1.8017197795,0.3914944562,0.3722222222,0.0642141479,-0.5798045603,1.8600971709,-0.5657218308,1,1,50,-0.63655165351,-0.651051059885,-0.69311815502
