Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
1,0.3585858586,0.0858585859,-1.0,1.0,0.0,0.0454545455,0.0454545455,-1.0,1.0,0.0,0.595959596,0.0404040404,-1.0,1.0,-0.0,0.303030303,0.0303030303,-1.0,1.0,0.0,1,1,5,0.0,0.0,0.000663
2,0.5222222222,0.0777777778,-1.0,1.0,0.0,0.0555555556,0.0555555556,-1.0,1.0,0.0,0.4222222222,0.0222222222,-1.0,1.0,0.0,0.5222222222,0.0777777778,-1.0,1.0,0.0,1,1,5,0.0008699999999999,0.0008699999999999,0.001333
3,0.4305555556,0.0138888889,-1.0,1.0,-0.0,0.0833333333,0.0833333333,-1.0,1.0,0.0,0.4861111111,0.0694444444,-1.0,1.0,0.0,0.2361111111,0.0138888889,-1.0,1.0,0.0,1,1,5,0.0072999999999999,0.0072999999999999,0.007845
4,0.5222222222,0.0777777778,-1.0,1.0,0.0,0.0555555556,0.0555555556,-1.0,1.0,0.0,0.4222222222,0.0222222222,-1.0,1.0,0.0,0.3666666667,0.0333333333,-1.0,1.0,-0.0,1,1,5,0.0,0.0,0.0025075
5,0.3361111111,0.197261342,0.0469143746,2.2517977753,-1.0434206531,0.1208333333,0.1265871461,-0.0999649246,2.2031190393,0.9391052743,0.5430555556,0.0887477178,-0.0495354132,1.9693935338,-0.0462021427,0.4194444444,0.0610479472,-0.2274446245,1.7572238725,-0.1181345253,1,1,5,0.0,0.0,0.0
6,0.5333333333,0.0654204509,-0.0588235294,1.5,-0.4703304603,0.1111111111,0.0907218423,0.0,1.5,0.0,0.3555555556,0.0314269681,-0.5,1.5,0.7071067812,0.4592592593,0.1093690597,-0.9863481229,1.5,0.2007001872,1,1,5,0.0078894999999999,0.0074799999999999,0.0076619999999999
7,0.6346153846,0.0576923077,-1.0,1.0,0.0,0.0576923077,0.0576923077,-1.0,1.0,0.0,0.3076923077,0.0,0.0,0.0,0.0,0.2692307692,0.0,0.0,0.0,0.0,1,1,8,0.0137235,0.0299435,0.0300709999999999
8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,1,1,8,0.0522455,0.0312579999999999,0.028308
9,0.5752136752,0.1071687177,-0.0296158045,1.5,-0.3345530282,0.0555555556,0.041573971,-0.0588235294,1.5,-0.3818017742,0.3692307692,0.0696882636,-0.1195121951,1.5,0.6359897583,0.2376068376,0.0869361444,-0.9983231605,1.5,0.0736164456,1,1,8,0.0401615,0.0240804999999999,0.0241185
10,0.6680952381,0.0603015852,0.6061941655,1.2172825193,0.43153958,0.099047619,0.0650414136,0.6321177223,1.909948542,-0.1143787117,0.2328571429,0.0346148226,-0.3940853367,1.7113542031,0.1989794754,0.2519047619,0.0321701824,0.2885020172,1.8501024671,-0.3915650685,1,1,8,0.0716785,0.032777,0.0269809999999999
11,0.6206075534,0.1113471707,0.3007149697,1.7302028684,-0.2385910001,0.0839671593,0.0483472653,0.7781812871,2.1956187707,-0.6934333174,0.2954252874,0.0732875726,-0.0682991703,1.9800415494,0.379325479,0.2010147783,0.0499650978,0.549806213,1.3803133578,0.1271492167,1,1,8,0.0260994999999999,0.0406775,0.03625
12,0.6125,0.0125,-1.0,1.0,-0.0,0.0333333333,0.0333333333,-1.0,1.0,0.0,0.3541666667,0.0208333333,-1.0,1.0,0.0,0.3208333333,0.0541666667,-1.0,1.0,0.0,1,1,8,0.0653645,0.0251319999999999,0.020041
13,0.6356251047,0.0394813231,-0.0960886651,2.4621440442,0.3888439289,0.0426973353,0.0222155279,0.6495281743,2.5733014268,-0.9302855168,0.3216775599,0.0266145435,-0.2817993602,1.2176709429,0.167715057,0.1792944528,0.0593173352,-0.0842601082,2.8280708637,0.8177958937,1,1,10,0.0553729999999999,0.0488355,0.0416295
14,0.5503387451,0.1130306494,0.8962481672,1.7480469247,0.3668560542,0.0890529224,0.0529804675,0.8648802991,1.8907107326,-0.5830342926,0.3606083325,0.0697624695,0.4663415292,1.7006092515,0.0690473297,0.139265348,0.0234266968,-0.6309807757,2.2542924434,0.2731141851,1,1,10,0.0332435,0.0551884999999999,0.0496765
15,0.7754385965,0.0276280978,-0.1167883212,1.5,-0.6309038567,0.0526315789,0.0429735043,0.0,1.5,0.0,0.1719298246,0.0198486114,-0.5,1.5,0.7071067812,0.1719298246,0.0198486114,-0.5,1.5,0.7071067812,1,1,10,0.063203,0.0423075,0.033353
