Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
1,0.3875,0.0125,-1.0,1.0,0.0,0.0625,0.0625,-1.0,1.0,0.0,0.55,0.05,-1.0,1.0,-0.0,0.55,0.05,-1.0,1.0,-0.0,1,1,5,0.0,0.0,0.000663
2,0.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666667,0.0,0.0,0.0,0.0,0.5555555556,0.0,0.0,0.0,0.0,1,1,5,0.0008699999999999,0.0008699999999999,0.001333
3,0.4777777778,0.0777777778,-1.0,1.0,0.0,0.05,0.05,-1.0,1.0,0.0,0.4722222222,0.0277777778,-1.0,1.0,0.0,0.3666666667,0.0333333333,-1.0,1.0,-0.0,1,1,5,0.0072999999999999,0.0072999999999999,0.007845
4,0.4444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555556,0.0,0.0,0.0,0.0,0.4444444444,0.0,0.0,0.0,0.0,1,1,5,0.0,0.0,0.0025075
5,0.3,0.1,-1.0,1.0,-0.0,0.05,0.05,-1.0,1.0,0.0,0.65,0.05,-1.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,5,0.0,0.0,0.0
6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,5,0.0078894999999999,0.0074799999999999,0.0076619999999999
7,0.45,0.05,-1.0,1.0,0.0,0.05,0.05,-1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.45,0.05,-1.0,1.0,0.0,1,1,8,0.0137235,0.0299435,0.0300709999999999
8,0.2666666667,0.0942809042,-0.5,1.5,0.7071067812,0.2,0.1414213562,-0.5,1.5,-0.7071067812,0.5333333333,0.0471404521,-0.5,1.5,0.7071067812,0.4333333333,0.0471404521,-0.8,1.5,0.7071067812,1,1,8,0.0522455,0.0312579999999999,0.028308
9,0.15,0.05,-1.0,1.0,-0.0,0.1,0.1,-1.0,1.0,0.0,0.75,0.15,-1.0,1.0,0.0,0.45,0.05,-1.0,1.0,0.0,1,1,8,0.0401615,0.0240804999999999,0.0241185
10,0.6125,0.0125,-1.0,1.0,-0.0,0.1,0.1,-1.0,1.0,0.0,0.2875,0.0875,-1.0,1.0,0.0,0.3875,0.0125,-1.0,1.0,0.0,1,1,8,0.0716785,0.032777,0.0269809999999999
11,0.45,0.15,-1.0,1.0,0.0,0.05,0.05,-1.0,1.0,0.0,0.5,0.1,-1.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,1,1,8,0.0260994999999999,0.0406775,0.03625
12,0.22,0.1326649916,0.3165467626,2.2169421488,-0.3700366502,0.16,0.1019803903,0.696969697,1.9556213018,-0.2715454179,0.62,0.0979795897,-0.3865546218,2.7291666667,0.8675276172,0.44,0.1356465997,-0.8674698795,2.3638941399,-0.7500308204,1,1,8,0.0653645,0.0251319999999999,0.020041
13,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1,1,10,0.0553729999999999,0.0488355,0.0416295
14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1,1,10,0.0332435,0.0551884999999999,0.0496765
15,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1,1,10,0.063203,0.0423075,0.033353
16,0.5,0.2097617696,-0.1666666667,2.8305785124,-1.1701586323,0.18,0.1166190379,-0.5730337079,1.6280276817,-0.3631734744,0.32,0.16,0.0282131661,2.5908203125,0.55078125,0.5,0.1095445115,-0.3333333333,2.5,-0.9128709292,1,1,10,0.0427925,0.050071,0.0412575
17,0.5,0.1,-1.0,1.0,0.0,0.05,0.05,-1.0,1.0,0.0,0.45,0.05,-1.0,1.0,0.0,0.45,0.05,-1.0,1.0,0.0,1,1,10,0.0482024999999999,0.041137,0.0322775
18,0.2666666667,0.0471404521,-0.5,1.5,-0.7071067812,0.2,0.1632993162,0.0,1.5,-0.0,0.5333333333,0.2054804668,-0.02,1.5,0.2390631469,0.4666666667,0.0942809042,-0.5,1.5,0.7071067812,1,1,10,0.0465094999999999,0.0569799999999999,0.0521655
19,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1,1,20,0.0457685,0.046836,0.0328915
20,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1,1,20,0.0609195,0.0542075,0.0399075
21,0.4333333333,0.1247219129,-0.9411764706,1.5,0.3818017742,0.1,0.0816496581,-1.0,1.5,-0.0,0.4666666667,0.0471404521,-0.5,1.5,-0.7071067812,0.4,0.0816496581,-1.0,1.5,0.0,1,1,20,0.053605,0.04952,0.0376375
22,0.32,0.1166190379,-0.525974026,1.6280276817,0.3631734744,0.16,0.1019803903,-0.8181818182,1.9556213018,-0.2715454179,0.52,0.1166190379,-0.1363636364,2.6660899654,-1.1500493357,0.42,0.04,-0.3157894737,3.25,1.5,1,1,20,0.0614185,0.0486535,0.0381055
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1,1,20,0.063417,0.055839,0.040537
24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1,1,20,0.068004,0.055907,0.0394445
25,0.275,0.1479019946,0.0215827338,1.8457142857,0.4346507596,0.175,0.1479019946,-0.4065934066,1.8457142857,0.4346507596,0.55,0.1658312395,-0.9428571429,1.6280991736,-0.4933822002,0.45,0.15,-0.4857142857,2.1851851852,-0.8888888889,1,1,50,0.0515355,0.0554309999999999,0.0427585
26,0.2333333333,0.0471404521,-0.8,1.5,0.7071067812,0.0666666667,0.0471404521,-0.5,1.5,-0.7071067812,0.7,0.0816496581,-1.0,1.5,0.0,0.4666666667,0.0942809042,-0.5,1.5,0.7071067812,1,1,50,0.0498334999999999,0.052097,0.04009
27,0.375,0.2487468593,-0.7196261682,2.2549739822,1.065949198,0.15,0.15,-0.037037037,2.1851851852,0.8888888889,0.475,0.1920286437,-0.6,1.5733984487,-0.2780305557,0.35,0.05,-1.0,1.0,-0.0,1,1,50,0.0542244999999999,0.0618279999999999,0.0448845
