Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
1,0.4988888889,0.138260802,0.3338058115,2.2765983016,-0.9442193396,0.0166666667,0.0333333333,-0.0526315789,3.25,1.5,0.4844444444,0.1092284954,0.4039112448,1.7994057278,0.7065408407,0.39,0.0290593263,-0.4555256065,3.0422437673,-1.3040473294,1,1,5,0.0,0.0,0.000663
2,0.487037037,0.0806778552,-0.2681196148,1.5,0.6447583207,0.1574074074,0.1118800553,-0.3288590604,1.5,-0.6745554845,0.3555555556,0.0314269681,-0.5,1.5,0.7071067812,0.4592592593,0.1093690597,-0.0136518771,1.5,0.2007001872,1,1,5,0.0008699999999999,0.0008699999999999,0.001333
3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,5,0.0072999999999999,0.0072999999999999,0.007845
4,0.5222222222,0.0777777778,-1.0,1.0,0.0,0.0555555556,0.0555555556,-1.0,1.0,0.0,0.4222222222,0.0222222222,-1.0,1.0,0.0,0.3666666667,0.0333333333,-1.0,1.0,-0.0,1,1,5,0.0,0.0,0.0025075
5,0.4222222222,0.1257078722,-0.5,1.5,0.7071067812,0.0925925926,0.0692899516,-0.0588235294,1.5,-0.3818017742,0.4851851852,0.0643635081,-0.9575596817,1.5,-0.3330665464,0.4574074074,0.0697339644,-0.8530215609,1.5,0.6769333302,1,1,5,0.0,0.0,0.0
6,0.4824074074,0.1224079677,0.393258427,2.4739909714,-0.8195510089,0.0833333333,0.0892930626,0.6603773585,1.482830385,0.3612605904,0.4342592593,0.0763369633,-0.4482023698,2.9467820759,0.8267161043,0.425,0.0202225275,0.4008438819,1.210751157,-0.1969698653,1,1,5,0.0078894999999999,0.0074799999999999,0.0076619999999999
7,0.5486263736,0.0734184986,0.0500943332,2.2600458789,-1.0713706542,0.1123626374,0.0824718482,0.5356151786,1.306901562,-0.2346344739,0.339010989,0.0632764666,-0.35584879,1.9005928959,-0.6968560843,0.179029304,0.0266234794,-0.5549464206,2.2899106948,-1.0910321214,1,1,8,0.0137235,0.0299435,0.0300709999999999
8,0.5777777778,0.1099943882,-0.8,1.5,0.7071067812,0.0222222222,0.0314269681,-0.8,1.5,0.7071067812,0.4,0.1414213562,-0.8,1.5,-0.7071067812,0.4222222222,0.1099943882,-0.8,1.5,-0.7071067812,1,1,8,0.0522455,0.0312579999999999,0.028308
9,0.522973323,0.1060764074,0.6949127907,1.7067480591,-0.2754391987,0.03997114,0.0426884607,0.6164123669,2.0415909061,0.6171762719,0.4370555371,0.0810784927,0.5292485457,2.0807320357,-0.2565393636,0.2639064639,0.0409078781,0.442226942,1.7579864729,0.2311135494,1,1,8,0.0401615,0.0240804999999999,0.0241185
10,0.6259259259,0.0926666371,0.0031263957,1.5543845502,-0.45267315,0.0486772487,0.0488609371,0.4005974695,2.0692538254,0.4690270458,0.3253968254,0.1300619075,0.1662872988,1.4305052093,0.4394639145,0.3328042328,0.1204561006,0.2574424326,1.5366980775,0.5805271857,1,1,8,0.0716785,0.032777,0.0269809999999999
11,0.5676948052,0.1918317672,0.573512073,2.7289846236,-0.9522842842,0.0306313131,0.0374560842,0.4906499326,2.9396042617,1.0325507279,0.4016738817,0.1555280857,0.5797567066,2.620701249,0.9055630123,0.2543560606,0.0865766495,0.2584105819,1.448927212,0.3683152625,1,1,8,0.0260994999999999,0.0406775,0.03625
12,0.3183569517,0.1099716629,0.978591218,3.5691403501,1.1227681994,0.0486531987,0.0515954129,0.5267769361,1.6829305976,0.4795742746,0.6329898497,0.0847763601,0.8371986791,4.0207350863,-1.3365824497,0.2137788138,0.0924647992,0.7655185358,2.1248048428,0.5248979995,1,1,8,0.0653645,0.0251319999999999,0.020041
13,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,10,0.0553729999999999,0.0488355,0.0416295
14,0.4833831936,0.1281319062,0.6175905878,3.1426163146,-0.4389634003,0.1005217722,0.0273581681,0.0155589736,3.5842649772,1.1138304879,0.4160950342,0.1104476172,0.6925778238,2.5397911822,0.1397426471,0.1620813896,0.0212623004,0.1078904588,1.7243080748,-0.5222516707,1,1,10,0.0332435,0.0551884999999999,0.0496765
