Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
1,0.4988888889,0.138260802,0.3338058115,2.2765983016,-0.9442193396,0.0166666667,0.0333333333,-0.0526315789,3.25,1.5,0.4844444444,0.1092284954,0.4039112448,1.7994057278,0.7065408407,0.39,0.0290593263,-0.4555256065,3.0422437673,-1.3040473294,1,1,5,0.0,0.0,0.000663
2,0.487037037,0.0806778552,-0.2681196148,1.5,0.6447583207,0.1574074074,0.1118800553,-0.3288590604,1.5,-0.6745554845,0.3555555556,0.0314269681,-0.5,1.5,0.7071067812,0.4592592593,0.1093690597,-0.0136518771,1.5,0.2007001872,1,1,5,0.0008699999999999,0.0008699999999999,0.001333
3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,5,0.0072999999999999,0.0072999999999999,0.007845
4,0.5222222222,0.0777777778,-1.0,1.0,0.0,0.0555555556,0.0555555556,-1.0,1.0,0.0,0.4222222222,0.0222222222,-1.0,1.0,0.0,0.3666666667,0.0333333333,-1.0,1.0,-0.0,1,1,5,0.0,0.0,0.0025075
5,0.4222222222,0.1257078722,-0.5,1.5,0.7071067812,0.0925925926,0.0692899516,-0.0588235294,1.5,-0.3818017742,0.4851851852,0.0643635081,-0.9575596817,1.5,-0.3330665464,0.4574074074,0.0697339644,-0.8530215609,1.5,0.6769333302,1,1,5,0.0,0.0,0.0
6,0.4588888889,0.1210856242,0.2897274051,2.2216347015,-0.6092017785,0.1,0.0888888889,0.6234309623,1.4189453125,0.03515625,0.4411111111,0.0819213715,-0.4962612839,2.4286828713,0.5658195104,0.43,0.0184591641,-0.2596006144,1.6747006931,-0.6464196894,1,1,5,0.0078894999999999,0.0074799999999999,0.0076619999999999
7,0.5486263736,0.0734184986,0.0500943332,2.2600458789,-1.0713706542,0.1123626374,0.0824718482,0.5356151786,1.306901562,-0.2346344739,0.339010989,0.0632764666,-0.35584879,1.9005928959,-0.6968560843,0.179029304,0.0266234794,-0.5549464206,2.2899106948,-1.0910321214,1,1,8,0.0137235,0.0299435,0.0300709999999999
8,0.5777777778,0.1099943882,-0.8,1.5,0.7071067812,0.0222222222,0.0314269681,-0.8,1.5,0.7071067812,0.4,0.1414213562,-0.8,1.5,-0.7071067812,0.4222222222,0.1099943882,-0.8,1.5,-0.7071067812,1,1,8,0.0522455,0.0312579999999999,0.028308
9,0.4387878788,0.0625564942,0.3459944481,1.207743463,-0.3010511536,0.0624242424,0.04249345,0.6796936511,1.7484186738,-0.1082042813,0.4987878788,0.0423202188,-0.16724244,1.5998052775,-0.4388940454,0.2581818182,0.0495118503,0.8124374792,1.4756255832,0.4725570149,1,1,8,0.0401615,0.0240804999999999,0.0241185
10,0.6333333333,0.0666666667,-0.25,3.25,-1.5,0.060952381,0.0554020555,0.5477230193,1.5707375551,0.1611748094,0.3057142857,0.1075979752,0.7309043416,2.4247468029,0.8759282725,0.2923809524,0.1074798932,0.2371255261,2.9607210095,1.2399061974,1,1,8,0.0716785,0.032777,0.0269809999999999
11,0.474978355,0.1871619176,0.4750969033,2.0541779333,-0.4320991795,0.049010101,0.0366604274,0.2596533625,2.2950209365,0.482018701,0.476011544,0.1517900393,0.5014615855,1.9555489699,0.3892557446,0.216969697,0.064669819,-0.0041861856,2.3813575298,0.8632684072,1,1,8,0.0260994999999999,0.0406775,0.03625
12,0.2595959596,0.0531959894,0.4230769231,1.1666666667,-0.4082482905,0.0742424242,0.0514953418,0.7135425241,1.5216182164,-0.247724439,0.6661616162,0.0327465961,-0.3853401931,2.5372765822,-0.9410520082,0.1454545455,0.0382840276,-0.3613777287,1.5555185169,-0.0397556762,1,1,8,0.0653645,0.0251319999999999,0.020041
13,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,10,0.0553729999999999,0.0488355,0.0416295
14,0.4017019488,0.1013922408,0.3342874024,2.3326423756,-0.9558702734,0.1034773163,0.0323810249,0.0317774386,2.7254865312,0.9680728369,0.4948207348,0.0729204889,0.3479351731,1.8911384177,0.7293231675,0.1594153466,0.0187108283,0.0686744207,1.4301648952,0.0743396225,1,1,10,0.0332435,0.0551884999999999,0.0496765
