Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
1,0.2305996473,0.1308848156,-0.101158349,2.2123616542,-0.2478307695,0.1596798263,0.052894288,0.4637059307,1.6585421745,-0.2392451965,0.6097205264,0.1033068849,-0.1178601777,1.7809993629,-0.1579527624,0.3256342423,0.0728459355,0.3509978858,2.2707877038,-0.0958809809,1,1,5,0.0,0.0,0.000663
2,0.0833333333,0.0816496581,0.2251308901,1.4398148148,0.2268046058,0.1957671958,0.0952498523,0.040899028,2.2686179539,0.7078307598,0.7208994709,0.0704498894,0.0683391587,2.5321985378,0.6763397874,0.3547619048,0.0597298023,0.2933858594,1.8467282211,-0.2706734557,1,1,5,0.0008699999999999,0.0008699999999999,0.001333
3,0.2345679012,0.0926954162,0.039166885,3.2233101116,1.2067161198,0.2314814815,0.0705164176,0.1310782241,2.0707491082,-0.0498058883,0.5339506173,0.0702457202,0.3153217206,2.1010643848,0.3677855261,0.3734567901,0.0601653972,-0.2263918794,2.3693351801,-0.7117049832,1,1,5,0.0072999999999999,0.0072999999999999,0.007845
4,0.3267195767,0.0676028166,0.0108163352,1.4583727126,0.3860565707,0.1018518519,0.1022718613,0.5510688836,1.451625907,0.2923859339,0.5714285714,0.1152844369,0.8562962963,1.5404472047,0.0440463662,0.3783068783,0.0682211479,-0.1830670646,3.8645084516,-1.4399591845,1,1,5,0.0,0.0,0.0025075
5,0.1948853616,0.1307644481,0.322232947,2.5873745092,0.0618780382,0.2151675485,0.1220775183,0.6390087009,1.6639767284,0.1527058477,0.5899470899,0.2190182226,0.7813339838,1.6838904387,0.5491575747,0.3805114638,0.0904987062,-0.2066559152,2.4155958235,0.6782833578,1,1,5,0.0,0.0,0.0
6,0.3067901235,0.1895192419,0.5342876601,1.8317484817,-0.0856853898,0.2395061728,0.1018836464,0.4700088612,1.794748727,0.2340111294,0.4537037037,0.1309457002,0.3408450704,1.8762,0.6180113268,0.4265432099,0.043883636,-0.1109219545,3.2333388247,-0.4719668877,1,1,5,0.0078894999999999,0.0074799999999999,0.0076619999999999
7,0.3641112272,0.1433770415,0.7089999595,1.9111260364,0.054534749,0.2097364449,0.0632933801,0.5508948838,2.3395549043,0.3575526414,0.4261523279,0.0867010686,0.7089067764,1.7889280056,-0.2186778944,0.1972464105,0.0476187863,-0.085667875,2.1460858951,-0.017607139,1,1,8,0.0137235,0.0299435,0.0300709999999999
8,0.4707671958,0.1318907112,0.4908579971,2.7502124265,0.9116959065,0.1091168091,0.0634017025,0.3975102575,2.3400388314,-0.7860249789,0.4201159951,0.0783368873,0.4069466229,3.1226017462,-0.6766435869,0.2595950346,0.0595355453,0.1410274282,2.2430352683,0.6366641544,1,1,8,0.0522455,0.0312579999999999,0.028308
9,0.4919413919,0.0737088412,0.2741275707,4.0622103031,1.0913700654,0.1414326414,0.0662405135,0.653421691,2.3572097396,0.6196147628,0.3666259666,0.0758412688,0.4267301762,1.859283698,-0.0860688902,0.2123728124,0.0221569018,0.277596522,1.0979318508,0.1920156269,1,1,8,0.0401615,0.0240804999999999,0.0241185
10,0.2184223184,0.1043920819,0.2997155597,1.3937373752,0.3851503427,0.2411736412,0.0661437839,0.1262585119,2.1332546208,-0.4931495891,0.5404040404,0.0689635939,0.2044239941,3.2372531258,-0.2137538521,0.20337502,0.0417231359,-0.4588112996,2.3154512726,-0.4475027249,1,1,8,0.0716785,0.032777,0.0269809999999999
11,0.3890020069,0.1099432178,0.2048388075,2.4101461893,0.8474435959,0.160836456,0.0617461132,0.2353242365,1.328391851,0.1157635384,0.4501615371,0.0632126347,0.2410589705,3.2302680228,-1.1430380651,0.2079814183,0.0407272799,0.0499411439,2.5748615752,1.0343254989,1,1,8,0.0260994999999999,0.0406775,0.03625
12,0.177328844,0.0789971194,0.5992536115,1.6683042972,0.1445680872,0.2418630752,0.0424525882,-0.0028075001,2.3139739974,-0.0741856038,0.5808080808,0.0869818254,0.6078431373,1.9541734741,-0.7463425833,0.1784511785,0.0379442009,-0.1819972196,1.590102649,0.3681088433,1,1,8,0.0653645,0.0251319999999999,0.020041
13,0.5916122004,0.0523714832,0.5055000786,1.4314392074,0.3960913733,0.1394517066,0.0281545753,0.6457001533,3.5595876921,0.4288923711,0.268936093,0.0667034766,0.7069141495,1.5876796962,0.1513729535,0.1720406681,0.0255331561,-0.1075222126,2.5435937831,0.7882805117,1,1,10,0.0553729999999999,0.0488355,0.0416295
14,0.3205128205,0.0753034623,0.6437054632,2.5970384373,0.083891948,0.1196581197,0.0360091871,0.4728571429,2.9492660186,0.3869576815,0.5598290598,0.0539714997,0.2929332807,2.2753756351,-0.5963378423,0.1431623932,0.0183810369,0.5021276596,2.1771365961,0.5403944288,1,1,10,0.0332435,0.0551884999999999,0.0496765
15,0.3125614245,0.0818491056,0.6323996294,1.5468589794,0.4603132908,0.2232634209,0.0686581657,0.3434022288,1.980092112,0.3227914299,0.4641751547,0.0507048847,0.4779568171,1.8003430119,0.1290037204,0.1314751386,0.0222950509,-0.0022649067,2.9830639632,0.8112759423,1,1,10,0.063203,0.0423075,0.033353
16,0.6285801195,0.0974163035,0.6664744208,2.362341776,0.9492621928,0.1027612149,0.0589762,0.5764602392,2.3964615759,-0.8531546599,0.2686586655,0.0469844965,0.8540786417,2.2279388946,0.0764378751,0.169157143,0.0420487197,0.9747623464,3.0938713416,-0.9904626586,1,1,10,0.0427925,0.050071,0.0412575
17,0.3178288409,0.10845674,0.6401514756,2.3170061335,0.6294363893,0.2727125038,0.0865172006,0.1601267445,2.1870455706,0.7273643977,0.4094586553,0.0547008259,0.4238117666,2.0691920861,-0.5769352743,0.1628164086,0.0344639121,0.1590469378,3.3032766501,0.0194730205,1,1,10,0.0482024999999999,0.041137,0.0322775
18,0.2523547881,0.0608467935,0.09733031,2.1447325461,0.2634159482,0.2147217862,0.0504965947,0.7994721521,1.9124556632,0.4377320379,0.5329234258,0.0401114536,-0.4116314893,2.8188519244,0.4494149486,0.1807953951,0.0145465103,-0.3229277796,2.20455859,-0.1518740869,1,1,10,0.0465094999999999,0.0569799999999999,0.0521655
19,0.3722461538,0.1220790645,0.9312876367,1.8040721577,-0.1899636059,0.2282410256,0.1139276304,0.9106388296,2.1900714497,0.6469502121,0.3995128205,0.0350642502,0.4976038309,2.5481758635,0.553150641,0.0647025641,0.0164033527,0.6068418391,1.9774895011,-0.0482550741,1,1,20,0.0457685,0.046836,0.0328915
20,0.5891483608,0.0749629837,-0.1854587553,2.5069236616,-0.1450113803,0.1189179318,0.047388379,-0.1887176417,4.0548424245,1.4588231804,0.2919337074,0.0387108125,-0.0361961211,2.6675008218,-1.0025092368,0.0654196519,0.0052159977,-0.1605419495,2.3496393989,0.3188728135,1,1,20,0.0609195,0.0542075,0.0399075
21,0.3751551023,0.0916007527,0.7563273139,2.5030787402,0.3886286166,0.1998279609,0.0647876218,0.752589097,2.2752132106,0.2979490512,0.4250169368,0.0549644426,0.7385310387,2.3734322274,0.1456520773,0.0464168595,0.0104766749,0.2641253748,5.6442294353,1.5044686961,1,1,20,0.053605,0.04952,0.0376375
22,0.5371973378,0.067337949,0.5333902556,1.8123137502,-0.3025370465,0.1161388278,0.0239392933,0.2729304282,1.9156987357,0.6330136624,0.3466638344,0.0460273036,0.5290193122,1.8504622585,-0.0463930575,0.0517341692,0.0113589067,0.5305480864,1.7145944122,0.5770515883,1,1,20,0.0614185,0.0486535,0.0381055
23,0.4416533837,0.0488846842,0.7877091327,1.9028121914,0.1281378965,0.1819940473,0.0402030345,0.697023918,2.7196983852,-0.9956520527,0.376352569,0.0268464248,0.7664736358,2.3071934003,-0.0978711876,0.0570083311,0.007035192,-0.0300819271,2.5599836276,0.4202916722,1,1,20,0.063417,0.055839,0.040537
24,0.2456,0.0641454597,0.6963788509,2.6531323695,0.3840273168,0.2722,0.0553187129,0.680599533,3.006401638,0.5416178436,0.4822,0.0415470817,0.5861891922,2.2954718407,0.1446199497,0.0564,0.0141081537,0.5996731352,1.6209546983,-0.0404944732,1,1,20,0.068004,0.055907,0.0394445
25,0.3484,0.0479107504,0.6218438697,2.0403560874,0.0092948066,0.1696,0.0305915021,0.5155714886,2.6028860228,-0.310070387,0.482,0.0367423461,0.5342668144,2.5252773663,-0.1945076299,0.0778,0.0134966663,0.0291440317,2.8659647399,0.5563858713,1,1,50,0.0515355,0.0554309999999999,0.0427585
26,0.6722059781,0.1195878186,0.9646052298,2.0886262432,-0.300099077,0.0941424758,0.0535812958,0.9431189149,2.2989473776,0.4483525956,0.2336515461,0.0695922416,0.8982875992,1.9637614181,0.2543156057,0.0382183725,0.0093305527,0.5053293735,3.4139547603,-0.1125002391,1,1,50,0.0498334999999999,0.052097,0.04009
27,0.3894,0.0329034953,0.1883302146,2.8618062258,0.265672841,0.1818,0.0248547782,-0.0500417107,2.4016559213,0.066643534,0.4288,0.0248708665,0.0132219942,2.4989268502,0.1351096826,0.0622,0.0123353152,0.0157026065,3.6140116497,0.3516870296,1,1,50,0.0542244999999999,0.0618279999999999,0.0448845
28,0.3462,0.0450839217,0.4625665378,2.0720367005,-0.4079077587,0.1862,0.0389687054,0.6801589924,1.9720252891,0.491606395,0.4676,0.034730966,0.2770341389,2.3467574792,0.1789939705,0.0546,0.0169068034,0.1264381383,2.5946731045,0.5717520061,1,1,50,0.045764,0.04826,0.0343935
