Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
1,0.3422222222,0.166503624,0.5235695634,1.6717444137,0.3195573543,0.1833333333,0.1160034057,0.3492141454,1.8612280111,-0.3598439117,0.4744444444,0.063010875,0.8108400247,2.1992544275,0.6724799316,0.38,0.0959423695,-0.6020948305,2.0044956161,-0.4587428448,1,1,5,0.0,0.0,0.000663
2,0.07,0.0733333333,-0.093427036,2.3074414316,0.7674680691,0.2138095238,0.1495450394,0.373933128,1.3395974015,0.4139403392,0.7161904762,0.0973387381,0.5250191071,1.5724294952,-0.2660389945,0.3704761905,0.0379042833,-0.1525238318,1.5491611188,0.4295204224,1,1,5,0.0008699999999999,0.0008699999999999,0.001333
3,0.3244444444,0.1889084957,0.7662234671,2.2094760793,-0.623161106,0.3007936508,0.2271339277,0.6689965543,1.754846905,0.1292848795,0.3747619048,0.1183560867,0.0248966704,2.8762670253,1.1263489546,0.4803174603,0.0953377785,-0.2214982765,1.3703377145,0.1464909777,1,1,5,0.0072999999999999,0.0072999999999999,0.007845
4,0.5155555556,0.1092284954,-0.8145919519,1.7994057278,-0.7065408407,0.0666666667,0.0888888889,-0.7605633803,2.078125,0.84375,0.4177777778,0.0217732422,-0.9230769231,1.1666666667,0.4082482905,0.3955555556,0.0355555556,-0.0188087774,2.5908203125,-0.55078125,1,1,5,0.0,0.0,0.0025075
5,0.3566666667,0.2143724692,0.7087274291,1.316073847,0.030925584,0.1555555556,0.1507184441,0.6686746988,1.2296786389,0.2115471545,0.4877777778,0.0765296683,0.186167606,1.301559403,-0.0744970778,0.3822222222,0.0430904876,0.111747851,1.5439112721,0.0460847791,1,1,5,0.0,0.0,0.0
6,0.3355555556,0.1395141481,0.632635942,2.8795285963,-1.2581462181,0.1655555556,0.0650166171,0.724516348,1.7954942162,0.2600281807,0.4988888889,0.0882197033,-0.2702144741,2.7998914757,1.1570649958,0.4066666667,0.0679869268,-0.1275626424,1.3731508876,0.1527442976,1,1,5,0.0078894999999999,0.0074799999999999,0.0076619999999999
7,0.4124137931,0.0187098758,-0.0548271752,2.8158081285,1.2332237528,0.104045977,0.0276809102,-0.3061498274,1.3296103407,0.0649384565,0.4835402299,0.0250165647,-0.3127386999,1.770929183,0.0545127775,0.2312183908,0.0158912941,-0.1173900041,3.0643278456,-1.3775098396,1,1,8,0.0137235,0.0299435,0.0300709999999999
8,0.4090909091,0.0417258533,-0.1516793066,2.4816402286,-0.8917137768,0.0327272727,0.03653495,-0.1727442988,2.556625359,0.9610201202,0.5581818182,0.0103917747,-0.6666666667,1.1666666667,-0.4082482905,0.2575757576,0.0512828989,0.5468102734,1.4888443713,0.3305239934,1,1,8,0.0522455,0.0312579999999999,0.028308
9,0.4301098901,0.0380398301,0.5046011296,2.0717816989,-0.4620432802,0.3073992674,0.0476592673,0.1083642529,1.9110288558,-0.3580313853,0.2624908425,0.0272302873,-0.1394322583,2.0165976364,0.4585642698,0.2117216117,0.0276696227,-0.2808745616,1.7093831534,-0.6288707193,1,1,8,0.0401615,0.0240804999999999,0.0241185
10,0.5287179487,0.0838175282,-0.1815729383,1.8875866295,0.5457161606,0.1154578755,0.0747710124,-0.1730188598,2.3741547741,0.0460102454,0.3558241758,0.0887927804,0.2034527277,2.0386738011,0.3795484543,0.2947985348,0.1055980871,-0.0064994754,3.0000798301,1.28529904,1,1,8,0.0716785,0.032777,0.0269809999999999
11,0.4561172161,0.0463947432,-1.1502092611,2.9378071622,-1.2314599982,0.1394871795,0.0276078717,0.2172915475,2.5599529799,0.9919560005,0.4043956044,0.0556414959,-0.1628817541,2.2873314186,0.581530761,0.2123076923,0.042276585,0.4108473992,2.0320013645,-0.4557405629,1,1,8,0.0260994999999999,0.0406775,0.03625
12,0.5161904762,0.0471981398,-0.1198428291,2.7543050855,-0.9476598139,0.0761904762,0.0485620906,-0.4285714286,1.9556213018,-0.2715454179,0.4076190476,0.0348107941,0.3928086839,1.8885761411,0.7499910627,0.2628571429,0.0213808994,-0.9631236443,1.2422524565,-0.1315095,1,1,8,0.0653645,0.0251319999999999,0.020041
13,0.5013452047,0.087071881,0.2466112586,1.9784017044,-0.1117976603,0.1727017474,0.0598066805,-0.5727202824,1.5057468604,0.5414596808,0.3259530479,0.0455944721,0.3095812518,2.01209778,-0.488116617,0.1229831933,0.0213637323,0.0787566865,1.7887720315,-0.3998171346,1,1,10,0.0553729999999999,0.0488355,0.0416295
14,0.1187904688,0.0491760498,-0.1943881523,1.9390395036,-0.6347942325,0.247029267,0.0150636688,-0.6234529297,2.0342146913,0.6807362254,0.6341802642,0.0396245288,-0.0106558212,1.3226733454,0.4264023669,0.1958508159,0.0214585952,0.2139877508,2.1236874877,0.3056134841,1,1,10,0.0332435,0.0551884999999999,0.0496765
15,0.1827272727,0.1718063272,0.8929206564,2.059612542,0.7889514508,0.3858041958,0.1771459389,0.7321763508,1.5474225415,-0.1993607036,0.4314685315,0.0514183398,-0.3187685756,1.4577016445,-0.0334682521,0.1336363636,0.028141445,-0.1217450401,1.6148279937,-0.2699673981,1,1,10,0.063203,0.0423075,0.033353
16,0.236013986,0.0756771314,0.7078521228,2.0508145819,0.6635461765,0.218951049,0.0377676764,-0.2165199887,2.036912144,-0.7516161431,0.545034965,0.052891085,0.5893901352,1.1986939526,-0.3585432459,0.1706293706,0.0178889812,-0.1439169139,1.7984260018,0.5918150352,1,1,10,0.0427925,0.050071,0.0412575
17,0.5274853801,0.0505110318,0.0823906544,1.2826213708,0.1553351252,0.0432748538,0.024638636,0.2672991647,2.4007745469,-0.6743228523,0.4292397661,0.0398996343,-0.6809315792,1.5818953971,-0.1240260619,0.2183235867,0.0419171308,-0.4475602916,1.4655184026,-0.2084235772,1,1,10,0.0482024999999999,0.041137,0.0322775
18,0.5911707373,0.0322498597,0.1953076104,1.21795529,0.2638472842,0.0535145052,0.0276769392,-0.2451803769,2.6098524694,1.092206365,0.3553147575,0.0359061948,0.7006740266,1.6359743213,0.5040130156,0.155544089,0.0111789403,-0.5336468714,2.599332193,1.1105135223,1,1,10,0.0465094999999999,0.0569799999999999,0.0521655
19,0.4546208207,0.0321131459,-0.0317674679,1.6984803351,0.5829621637,0.1371500661,0.0170068237,-0.7124378675,3.1624695754,-1.4307461617,0.4082291132,0.0293102829,0.0861989868,3.0798542016,-1.3690674296,0.0806348964,0.0081362363,-0.1501356462,2.883630399,-1.2691651924,1,1,20,0.0457685,0.046836,0.0328915
